,Corrective Action,PLC,Model,fault,diagnostic
300,"excerpt of the online help of s7-pdiag:
""this associated value can have a parameter of the type bool, byte, char, word, int, dword, dint or real from the e, a, m or db areas. likewise you can enter local variables of an fb to which an error definition is attached. these are extended upon generation according to the type instance concept.",siemen,step 7,"invalid data type..."",",error message probably caused associated value invalid data type. please also refer information online help s7-diag concerning data types valid associated values.
301,install step 7 again.,siemen,step 7,registry database set correctly simatic manager.,installation faulty.
302,an attempt was made to copy or move an object from a version v3 project or from a version v3 library into a version v2 project or library. this is not possible because of incompatibility.,siemen,step 7,objects copied moved projects/libraries current version projects/libraries version 2.x.,"step 7 downward compatibility, data management v2 >v3 same, blocks created step 7 v3 higher cannot copied moved v2.x projects ."
303,remove the write-protection if you want to modify objects in this project. please see the instruction by error message 256:92.,siemen,step 7,project library '%1' write- protected medium.,project either located write-protected floppy disk write authorization drive.
304,release higher-level catalog of the project  (e.g. step7\s7proj) for access via network drive.,siemen,step 7,project library '%1' write- protected medium.,project catalog released windows explorer read/write access.
305,please install the internet explorer v4.0 and then reinstall step 7.,siemen,step 7,internet explorer installed pc.,step 7 v5 installed without internet explorer trying start online help.
306,reinstall step 7.,siemen,step 7,internet explorer installed pc.,online help started internet explorer installed installation step 7.
307,"check your interface to the user block.
if your user program contains standard blocks with default symbolic, then please delete these sfbs and sfcs and reinsert them from the library. this corrects the interface of these blocks.",siemen,step 7,diagnostic block could created.,standard blocks program originate plc library. project created per upload plc earlier version step 7 standard blocks copied plc offline program.
308,"you can regenerate the fb49 and db49 in the hardware-configuration as follows:
1. highlight the cpu with the cursor. under ""extras > reporting system errors... > register: general"", you can now newly generate the diagnostics- fb and the diagnostics-db. finally, save and translate the hardware configuration once more.
2. you can also newly generate the diagnostics-fb and the diagnostics-db by means of ""save and translate"" if you change the following setting: under ""station > properties ... > register: settings"" the option ""calling when saving and translating"" has to be activated.",siemen,step 7,reporting system error: internal error ocur,internal error occurs reference data regenerated.
309,"if it is not possible to compile the hardware configuration after this message, so make a little change in the hardware configuration. after it is possible again to save and compile.",siemen,step 7,inconsistent hardware configur,hardware configuration either inconsistent made changing still save compiled.
310,upgrade the firmware of fm.,siemen,step 7,connection fm355/455.,old firmware fm.
311,you must install the additional authorization for integrating simatic pdm in step 7.,siemen,step 7,authorisation simatic pdm installed. simatic pdm could started.,authorization permitting integrate simatic pdm step 7 missing. authorization option authorization installed addition basic authorization simatic pdm.
312,make a reset of the cpu modul and load the hardware configuration of the offline project again.,siemen,step 7,system error 33,meesage appears upload hardware configuration. possible load sdbs complete incorrect.
313,"step7 has to be reinstalled or the missing "".err"" files have to be copied from a different computer in order to be able to translate the hardware configuration again.",siemen,step 7,"error occured creating interpreting system sdb's. "". error creating systemdata. "".","regarding mentioned messages occur saving translating hw config following applies: 1. projected assigned cp subnet hardware configuration. 2. files extension .""err"" deleted optimization programs - like e.g. tuneup."
314,in the hw config increase the setting for the communications load for thecpu.,siemen,step 7,error protokol,job jam cpu.
315,monitor values with vat and wait for new cpus.,siemen,step 7,error notice module status cpu400.,"pqw monitored. cannot read back pqws, cpu reports error."
316,acknowledge the message and reduce the frequency of control jobs.,siemen,step 7,error data: reference order available.,"controlling using variable monitoring might happen many control jobs sent cpu, rejected cpu buffer full."
317,increase the communications load of the cpu from (default) 20% to 50%.,siemen,step 7,time limit exceeded process operating.,communications load high.
318,"please check the syntax of the address in the vat, or whether the address is available in the system or perhaps not addressable (wiring fault, hardware fault).",siemen,step 7,time limit exceeded process operating.,"message appears function ""control via vat"" address memory areas i, o, m, timer, counter, db, available broadest sense."
319,close the variable table and retransfer the system data.,siemen,step 7,error rules coordinating occured.,"attempting load system data, background variable table still open online."
320,"if possible, rename the ob or even delete it in the offline database and retrigger the transfer.",siemen,step 7,ob copied belong layer available.,"message comes cpu. attempt made transfer ob onto cpu, permissible."
321,"deactivate the setting ""call path with test/call environment"", then the block can be downloaded.",siemen,step 7,error rules coordinating occured.,occurs block overwritten online still accessed. v4.01 blocks call environment.
322,close everything except hw config.,siemen,step 7,error rules coordinating occured.,occurs object accessed online (also vat).
323,delete this file and the file vcf132.ocx and reinstall step 7.,siemen,step 7,error opening empty document. error opening symbolic table.,incompatible opc manager installed. system path windows vcf1.lic responsible this.
324,"start setup with the extension  ol:b, then the setup is forced to start in english.",siemen,step 7,"setup start error message: function ""sdbitmap"":unable crate dialog make sure _isres.dll _setup.lib",_isres.dll needed switching languages.
325,"example, this message appears if the number of outputs is 8192 byte by the cpu and you have defined a variable outside of this range. check the addresses with the definition of your variables.",siemen,step 7,error compilation modul s7-300. module ob1 could copied.,"message appears, defined variable (marker, in- output) module power range cpu."
326,check the connections and reduce where appropriate. static connections can be converted into dynamic connections.,siemen,step 7,requested informations available.,number possible connections exceeded.
327,upgrade cp 443-5 to a version >v2.7.,siemen,step 7,protocols communication software (s7dos) interface module (cp) compatible.,customer step 7 v5+sp1 + recent pdm cp 443-5 ext > v2.7. new rpc 7 protocol used data record routing cp s7dos. unfortunately cp version v2.7 support function.
328,check the configuration and replace the cp being used with a different cp that has this function.,siemen,step 7,protocols communication software (s7dos) interface module (cp) compatible.,"user using correct components step 7 v5 + sp2 + pdm, cp dsgw."
329,this behavior no longer occurs in softnet profibus s7 v5.0.,siemen,step 7,"error message diagnostic: ""profibus/mpi network diagnostic"". error: requested parameter could read register data basis!",firmware/driver error
330,please close all s7 applications and restart setup.,siemen,step 7,incompatible versionen s7otbldx.dll s7otblsx.dll.,s7 applications still running setup step 7.
331,"please search for ""s7ot*.*"" on all your local drives and delete them. then please restart the setup of step 7.",siemen,step 7,incompatible versionen s7otbldx.dll s7otblsx.dll.,step 7 installed computer s7 options package version protool /win cc already installed compatible version step 7.
332,execute the power-up handler.,allen brad,studio 5000 logix design,major fault t01:c01 - power-up fault: power lost restored run mode.,controller powered run mode.
333,legacy. now an unused fault code.,allen brad,studio 5000 logix design,minor fault t01:c02 - power-up fault: ac power loss detected. chassis active dc power cannot maintained.,ac power loss detected. chassis active dc power cannot maintained.
334,"remove the power supply from the 1768 compactbus and cycle power to the system.
replace the power supply.",allen brad,studio 5000 logix design,minor fault t01:c15 - power-up fault: i/o power fault detected.,1769 power supply connected directly controller’s 1768 compactbus invalid configuration. 1768 power supply provides power controller failed.
335,reconfigure the number of communication modules on the 1768 bus side of the controller,allen brad,studio 5000 logix design,major fault t01:c16 - power-up fault: i/o communications configuration fault detected.,i/o communication configuration fault detected. (compactlogix™ 1768-l4x controllers only.)
336,legacy. now an unused fault code.,allen brad,studio 5000 logix design,minor fault t01:c29 - power-up fault: voltage exceeded operating limits.,voltage exceeded operating limits.
337,"for controllers that use a battery, replace the battery.
for controllers that use an esm (energy storage module):
• allow the esm to charge fully before powering down the controller.
• replace the esm if the esm is removable, or replace the controller if the esm is not removable.
",allen brad,studio 5000 logix design,major fault t01:c40 - power-up fault: energy storage module/battery failed power down.,"controller uses battery, battery contain enough charge save user program power-down. controller uses esm (energy storage module), esm contain enough charge save user program power-down."
338,"1. clear the fault.
2. download the project.
3. change to remote run or run mode.",allen brad,studio 5000 logix design,major fault t01:c60 - power-up fault: non-recoverable fault.,"controller memory card installed, controller: - detected nonrecoverable fault. - cleared project memory."
339,"1. clear the fault.
2. download the project.
3. change to remote run or run mode.",allen brad,studio 5000 logix design,major fault t01:c61 - power-up fault: non-recoverable fault saved diagnostic information.,"controller memory card installed, controller: • detected nonrecoverable fault. • wrote diagnostic information memory card. • cleared project memory."
340,"1. clear the fault.
2. download the project.
3. change to remote run or run mode.
if the fault persists, contact rockwell automation support.",allen brad,studio 5000 logix design,major fault t01:c62 - power-up fault: non-recoverable fault saved diagnostic information stored user program.,"controller secure digital (sd) card installed, controller: • detected nonrecoverable fault. • wrote diagnostic information memory card."
341,install the end cap.,allen brad,studio 5000 logix design,minor fault t3:c0 - i/o fault: compact i/o end cap missing.,compact i/o™ end cap missing.
342,"complete these steps to identify the source of the bus off fault:
1.  the number of local expansion modules in the project matches the number of modules that are physically installed in the system.
2.  all mounting bases are locked and i/o modules are securely installed on mounting bases.
3. all 1734 point i/o™ modules are configured to use the autobaud rate.",allen brad,studio 5000 logix design,minor fault t03:c01 - i/o fault: pointbus backplane bus off.,pointbus™ backplane bus condition. connections controller i/o modules broken.
343,"verify the following:
• i/o module is in the chassis.
• electronic keying requirements.
• controller properties major fault tab and the module properties connection tab for more information about the fault.",allen brad,studio 5000 logix design,major fault t03:c16 - i/o fault: i/o module connection failed required module.,required i/o module connection failed.
344,not recoverable. replace the chassis.,allen brad,studio 5000 logix design,major fault t03:c20 - i/o fault: unable read controlbus™ chassis information. chassis may bad.,possible fault chassis.
345,not recoverable. replace the chassis.,allen brad,studio 5000 logix design,major fault t03:c21 - i/o fault: unable read controlbus chassis information. chassis may bad.,possible fault chassis.
346,wait for the controller i/o light to turn green before changing to run mode.,allen brad,studio 5000 logix design,major fault t03:c23 - i/o fault: least one required connection established going run mode.,least one required connection established going run mode.
347,"• make sure that the redundancy module is correctly inserted and connected.
• synchronize the redundancy controllers so that only one controller is in the primary state.",allen brad,studio 5000 logix design,major fault t03:c32 - i/o fault: controller failed open i/o connection fault-tolerant i/o module partner controller primary state.,controller failed open i/o connection fault-tolerant i/o module partner controller primary state.
348,set the rpi rate of the i/o modules to a higher numerical value. rockwell automation recommends that the compactlogix™ 5370 l2 and compactlogix 5370 l3 control systems do not run with module rpi overlap faults.,allen brad,studio 5000 logix design,minor fault t03:c94 - i/o fault: module rpi overlap detected.,current rpi update i/o module overlaps previous rpi update.
349,legacy. now an unused fault code.,allen brad,studio 5000 logix design,minor fault t03:c100 - i/o fault: i/o module support data integrity.,i/o module support data integrity.
350,examine the arithmetic operations (order) or adjust the values.,allen brad,studio 5000 logix design,minor fault t04:c04 - program fault: arithmetic overflow. result arithmetic instruction range.,result arithmetic operation range.
351,check the instance name.,allen brad,studio 5000 logix design,minor fault t04:c05 - program fault: gsv/ssv object address invalid.,"gsv/ssv instruction, specified instance found."
352,check the class name and attribute name.,allen brad,studio 5000 logix design,minor fault t04:c06 - program fault: gsv/ssv operand invalid.,"gsv/ssv instruction, either the: • specified class name supported. • specified attribute name valid."
353,fix the destination so it has enough space.,allen brad,studio 5000 logix design,minor fault t04:c07 - program fault: gsv/ssv destination tag small hold data.,gsv/ssv destination tag small hold data.
354,remove the unknown instruction. this probably happened due to a program conversion process.,allen brad,studio 5000 logix design,major fault t04:c16 - program fault: unknown instruction encountered.,unknown instruction encountered.
355,adjust the value to be within the valid range. do not exceed the array size or go beyond the dimensions defined.,allen brad,studio 5000 logix design,"major fault t04:c20 - program fault: array subscript large, control data type pos len invalid.",array subscript large control data type .pos .len value invalid.
356,adjust the value so it is > 0.,allen brad,studio 5000 logix design,major fault t04:c21 - program fault: control data type len pos less 0.,control structure .len .pos < 0.
357,legacy. now an unused fault code.,allen brad,studio 5000 logix design,major fault t04:c24 - program fault: unknown data type passed subroutine.,unknown data type passed subroutine.
358,verify the ascii configuration settings.,allen brad,studio 5000 logix design,minor fault t04:c30 - program fault: ascii instruction failed.,ascii instruction failed. bad parameters passed ascii port.
359,"pass the appropriate number of parameters. if you pass too many parameters, the extra ones are ignored without any error.",allen brad,studio 5000 logix design,major fault t04:c31 - program fault: jsr ret pass many parameters expected.,parameters jsr instruction match associated sbr ret instruction.
360,legacy. now an unused fault code.,allen brad,studio 5000 logix design,minor fault t04:c32 - program fault: routine type supported.,routine type supported.
361,fix the program so that it cannot load a negative value into the timer preset or accumulated value.,allen brad,studio 5000 logix design,major fault t04:c34 - program fault: timer instruction negative value pre acc.,timer instruction negative preset accumulated value.
362,adjust the pid delta time so that it is > 0.,allen brad,studio 5000 logix design,pid delta time less 0.,pid delta time less zero.
363,adjust the setpoint so that it is within range.,allen brad,studio 5000 logix design,pid setpoint range target module.,pid setpoint range.
364,correct the jmp target or add the missing label.,allen brad,studio 5000 logix design,major fault t04:c42 - program fault: jmp label exist deleted.,jmp label exist deleted.
365,"1. check that no instruction is writing to the len member of the string tag.
2. in the len value, enter the number of characters that the string contains.",allen brad,studio 5000 logix design,minor fault t04:c51 - program fault: len value outside data limit.,.len value string tag greater data size string tag.
366,create a string data type that is large enough for the output string. use the new string data type as the data type for the destination.,allen brad,studio 5000 logix design,minor fault t04:c52 - program fault: defined string size invalid.,output string larger destination.
367,"either:
• reduce the size of the ascii value.
• use a larger data type for the destination.",allen brad,studio 5000 logix design,minor fault t04:c53 - program fault: numeric result cannot fit destination.,output number beyond limits destination data type.
368,legacy. now an unused fault code.,allen brad,studio 5000 logix design,minor fault t04:c54 - program fault: buffersize value reduced amount data.,buffersize value reduced amount data.
369,legacy. now an unused fault code.,allen brad,studio 5000 logix design,minor fault t04:c55 - program fault: serialport control len value incorrect.,serialport control .len value incorrect.
370,"check the following:
• the start value is between 1 and the data size of the source.
• the start value plus the quantity value is less than or equal to the data size of the source.",allen brad,studio 5000 logix design,minor fault t04:c56 - program fault: invalid start and/or quantity value.,start quantity value invalid.
371,"either:
• change the control line setting of the serial port.
• delete the ahl instruction.",allen brad,studio 5000 logix design,minor fault t04:c57 - program fault: cannot execute ahl serialport set nohandshaking.,ahl instruction failed execute serial port set handshaking.
372,remove the jump back to the calling sfc.,allen brad,studio 5000 logix design,major fault t04:c82 - program fault: could re-enter executing sfc routine.,sequential function chart (sfc) called subroutine subroutine tried jump back calling sfc. occurs sfc uses either jsr instruction call subroutine.
373,adjust the value to be within the valid range. do not exceed the array size or go beyond the dimensions defined.,allen brad,studio 5000 logix design,major fault t04:c83 - program fault: value range.,data tested inside required limits. occurs array subscripts used boolean arrays bit level addressing.
374,reduce the subroutine-nesting levels or the number of parameters passed.,allen brad,studio 5000 logix design,major fault t04:c84 - program fault: stack overflow. stack small perform operation.,stack overflow.
375,use a valid routine type.,allen brad,studio 5000 logix design,major fault t04:c85 - program fault: invalid routine type.,invalid routine type.
376,contact rockwell automation technical support. ,allen brad,studio 5000 logix design,minor fault t04:c86 - program fault: access violation user program.,access violation user program.
377, dll missing or malformed. confirm and adjust.,allen brad,studio 5000 logix design,minor fault t04:c87 - program fault: external routine dll load failed. perhaps dll depends missing.,external routine dll load failed.
378,troubleshoot the external routine dll.,allen brad,studio 5000 logix design,minor fault t04:c88 - program fault: exception external routine dll.,exception external routine dll.
379,correct the sfr target or add the missing step.,allen brad,studio 5000 logix design,major fault t04:c89 - program fault: target step exist specified routine.,"sfr instruction, target routine contain target step."
380,only use the instruction in a safety task.,allen brad,studio 5000 logix design,major fault t04:c90 - program fault: safety instruction occurs outside safety task.,safety instruction occured outside safety task.
381,only use the instruction in an equipment phase program.,allen brad,studio 5000 logix design,major fault t04:c91 - program fault: equipment phase instruction cannot called program.,equipment phase instruction called outside equipment phase program.
382,restructure the project to reduce the subroutine-nesting levels.,allen brad,studio 5000 logix design,major fault t04:c94 - program fault: nesting limits exceeded.,nesting limits exceeded.
383,user-defined action.,allen brad,studio 5000 logix design,major fault t04:c990 - program fault: user-defined fault.,user-defined major fault.
384,user-defined action.,allen brad,studio 5000 logix design,major fault t04:c991 - program fault: user-defined fault.,user-defined major fault.
385,user-defined action.,allen brad,studio 5000 logix design,major fault t04:c992 - program fault: user-defined fault.,user-defined major fault.
386,user-defined action.,allen brad,studio 5000 logix design,major fault t04:c993 - program fault: user-defined fault.,user-defined major fault.
387,user-defined action.,allen brad,studio 5000 logix design,major fault t04:c994 - program fault: user-defined fault.,user-defined major fault.
388,user-defined action.,allen brad,studio 5000 logix design,major fault t04:c995 - program fault: user-defined fault.,user-defined major fault.
389,user-defined action.,allen brad,studio 5000 logix design,major fault t04:c996 - program fault: user-defined fault.,user-defined major fault.
390,user-defined action.,allen brad,studio 5000 logix design,major fault t04:c997 - program fault: user-defined fault.,user-defined major fault.
391,user-defined action.,allen brad,studio 5000 logix design,major fault t04:c998 - program fault: user-defined fault.,user-defined major fault.
392,user-defined action.,allen brad,studio 5000 logix design,major fault t04:c999 - program fault: user-defined fault.,user-defined major fault.
393,"take one or more of these steps:
•  increase the task watchdog.
• shorten the execution time.
• make the priority of this task higher.
• simplify higher priority tasks.
• move some code to another controller.",allen brad,studio 5000 logix design,"major fault t06:c01 - watchdog fault: task watchdog expired. may caused infinite loop, complex program, higher priority task.","user task completed specified period. program error caused infinite loop, program complex run quickly specified, higher priority task keeping task finishing."
394,"make changes, such as simplify programs, lengthen the period, or raise the relative priority.",allen brad,studio 5000 logix design,minor fault t06:c02 - watchdog fault: periodic task overlap. task scheduled finished executing.,periodic task overlap. task scheduled finished executing.
395,"make changes such as simplify programs, lengthen the period, raise the relative priority, or slow the triggering event.",allen brad,studio 5000 logix design,minor fault t06:c03 - watchdog fault: event task overlap. task triggered finished executing.,event task overlap. task triggered finished executing.
396,"1. try again to store the project to nonvolatile memory.
2. if the project fails to store to nonvolatile memory, replace the memory card. if you are using a 1756-l7x controller, verify that the sd card is unlocked.",allen brad,studio 5000 logix design,major fault t07:c40 - nonvolatile fault: store nonvolatile memory failed.,store nonvolatile memory failed.
397,change to a controller of the correct type or download the project and store it on the memory card.,allen brad,studio 5000 logix design,major fault t07:c41 - nonvolatile fault: load nonvolatile memory failed due controller type mismatch.,load nonvolatile memory failed due controller type mismatch.
398,update the controller firmware to the same revision level as the project that is in nonvolatile memory.,allen brad,studio 5000 logix design,major fault t07:c42 - nonvolatile fault: load nonvolatile memory failed due controller revision mismatch.,load nonvolatile memory failed firmware revision project nonvolatile memory match firmware revision controller.
399,contact rockwell automation support.,allen brad,studio 5000 logix design,major fault t07:c43 - nonvolatile fault: load nonvolatile memory failed due bad checksum.,load nonvolatile memory failed due bad checksum.
400,contact rockwell automation support.,allen brad,studio 5000 logix design,major fault t07:c44 - nonvolatile fault: failed restore processor memory.,failed restore controller memory.
401,clear the fault.,allen brad,studio 5000 logix design,minor fault t07:c49 - nonvolatile fault: controller loaded nonvolatile memory.,"controller loads project nonvolatile memory, logs minor fault sets faultlog object, minorfaultbits attribute, bit 7."
402,clear the fault and power cycle the controller.,allen brad,studio 5000 logix design,major fault t07:c50 - nonvolatile fault: security certificate invalid.,"log file certificate cannot verified. controller starts up, attempts verify log file key/certificate combination. depending verification, controller takes one following actions: • controller verifies existing log file certificate, controller continues existing log directory. • existing certificate cannot verified, controller logs major fault attempts create new certificate. • controller successfully creates certificate, creates backup log subdirectory, moves existing files directory, continues logging signing new verification key log file certificate. • controller cannot create certificate, controller writes log entries existing log directory, update signature files directory."
403,wait for the download to complete and clear the fault.,allen brad,studio 5000 logix design,major fault t8:c1 - mode change fault: mode change inhibited due download progress.,attempted place controller run mode keyswitch download.
404,contact rockwell automation technical support.,allen brad,studio 5000 logix design,minor fault t09:c00 - serial port fault: unknown error servicing serial port.,unknown error servicing serial port.
405,disconnect and reconnect the serial port cable to the controller. make sure that the cable is wired correctly.,allen brad,studio 5000 logix design,minor fault t09:c01 - serial port fault: problem hardware control lines.,cts line correct current configuration.
406,"check for the following errors in the poll list.
- total number of stations is greater than the space in the poll list tag.
- total number of stations is greater than 255.
- current station pointer is greater than the end of the poll list tag.
- a station number greater than 254 was encountered.",allen brad,studio 5000 logix design,minor fault t09:c02 - serial port fault: contents poll list tag incorrect.,"poll list error. fault detected df1 master’s poll list, specifying stations size file, specifying 255 stations, trying index past end list, polling broadcast address (stn #255)."
407,specify a tag to be used for the active station tag in the system protocol tab of the controller properties.,allen brad,studio 5000 logix design,minor fault t09:c03 - serial port fault: master protocol missing active station file.,rs-232 dfi master active station tag unspecified.
408,determine and correct delay for polling.,allen brad,studio 5000 logix design,minor fault t09:c05 - serial port fault: df1 slave poll timeout.,df1 slave poll timeout. poll watchdog timed slave. master polled controller specified amount time.
409,correct modem connection to the controller.,allen brad,studio 5000 logix design,minor fault t09:c09 - serial port fault: modem contact lost.,modem contact lost. dcd dsr control lines received proper sequence state.
410,slow down the rate at which the initiator is sending data.,allen brad,studio 5000 logix design,minor fault t09:c10 - serial port fault: serial port unable keep incoming data.,data dropped lost serial port.
411,correct the channel specified in the acl instruction.,allen brad,studio 5000 logix design,minor fault t09:c11 - serial port fault: acl instruction channel operand valid port.,channel operand acl instruction channel valid port.
412,install a new battery.,allen brad,studio 5000 logix design,minor fault t10:c10 - battery fault: battery missing needs replaced.,battery missing must replaced.
413,install a new battery.,allen brad,studio 5000 logix design,minor fault t10:c11 - battery fault: safety partner battery missing needs replaced.,battery safety partner missing must replaced.
414,install an esm in the controller.,allen brad,studio 5000 logix design,minor fault t10:c12 - energy storage fault: energy storage module present.,"energy storage module installed. controller powered-down, wallclocktime attribute program maintained."
415,replace the installed esm with one that is compatible with the controller.,allen brad,studio 5000 logix design,minor fault t10:c13 - energy storage fault: energy storage module incompatible controller type.,installed energy storage module compatible controller.
416,replace the esm.,allen brad,studio 5000 logix design,minor fault t10:c14 - energy storage fault: energy storage module hardware failure.,energy storage module must replaced due hardware fault. capable maintaining wallclocktime attribute controller program power down.
417,replace the esm.,allen brad,studio 5000 logix design,minor fault t10:c15 - energy storage fault: energy storage module energy low.,energy storage module cannot store enough energy maintain wallclocktime attribute controller program power-down.
418,"either:
• install the ups.
• check the ups to make sure it is adequately charged to provide backup power if there is a power loss.",allen brad,studio 5000 logix design,minor fault t10:c16 - ups fault: ups missing ready.,uninterruptible power supply missing ready.
419,replace the battery in the ups.,allen brad,studio 5000 logix design,minor fault t10:c17 - ups fault: ups battery failure.,uninterruptible power supply battery failed must replaced.
420,move axis in negative direction until position is within overtravel limit and then execute motion axis fault reset.,allen brad,studio 5000 logix design,major fault t11:c01 - motion fault: actual position axis exceeded positive overtravel limit.,actual position axis exceeded positive overtravel limit.
421,move axis in positive direction until position is within overtravel limit and then run motion axis fault reset.,allen brad,studio 5000 logix design,major fault t11:c02 - motion fault: actual position axis exceeded negative overtravel limit.,actual position axis exceeded negative overtravel limit.
422,"move the position within tolerance, then run motion axis fault reset.",allen brad,studio 5000 logix design,major fault t11:c03 - motion fault: actual position exceeded position error tolerance.,actual position axis exceeded position error tolerance.
423,"reconnect the encoder channel, then run motion axis fault reset.",allen brad,studio 5000 logix design,"major fault t11:c04 - motion fault: encode channel a, b, z connection failed.","encoder channel a, b, z connection broken."
424,"fix encoder cabling, then run motion axis fault reset.",allen brad,studio 5000 logix design,"major fault t11:c05 - motion fault: encoder noise event detected, encoder signals quadrature.",encoder noise event detected encoder signals quadrature.
425,clear drive fault then run motion axis fault reset.,allen brad,studio 5000 logix design,major fault t11:c06 - motion fault: drive fault.,drive fault detected.
426,"try these steps:
1. first, run motion axis fault reset.
2. if that does not work, pull out the servo module and plug it back in.
3. if this does not work, replace the servo module.",allen brad,studio 5000 logix design,major fault t11:c07 - motion fault: synchronous connection servo module failed.,synchronous connection servo module failed.
427,replace the module.,allen brad,studio 5000 logix design,major fault t11:c08 - motion fault: hardware failure servo module.,hardware failure detected servo module.
428,"try these steps:
1. first, run motion axis fault reset.
2. if that does not work, pull out the servo module and plug it back in.
3. if this does not work, replace the servo module.",allen brad,studio 5000 logix design,major fault t11:c09 - motion fault: asynchronous connection servo module failed.,asynchronous connection servo module failed.
429,see the drivefaults axis tag for more information.,allen brad,studio 5000 logix design,major fault t11:c10 - motion fault: motor fault detected.,motor fault detected.
430,see the drivefaults axis tag for more information.,allen brad,studio 5000 logix design,major fault t11:c11 - motion fault: motor thermal fault detected.,motor thermal fault detected.
431,see the drivefaults axis tag for more information.,allen brad,studio 5000 logix design,major fault t11:c12 - motion fault: drive thermal fault detected.,drive thermal fault detected.
432,verify the integrity of the sercos fiber-optic ring network and the devices on it.,allen brad,studio 5000 logix design,major fault t11:c13 - motion fault: sercos comm fault detected.,sercos communication fault detected.
433,re-enable the drive enable input and clear the fault.,allen brad,studio 5000 logix design,"major fault t11:c14 - motion fault: drive enable input 1) inactive prior attempt enable drive, 2) transitioned inactive drive enabled.",drive enable input inactive attempt enable drive transitioned inactive drive enabled.
434,restore full power connection to the drive and clear the fault.,allen brad,studio 5000 logix design,major fault t11:c15 - motion fault: drive phase loss fault detected.,drive phase loss fault detected.
435,see the guardfaults axis tag for more information.,allen brad,studio 5000 logix design,major fault t11:c16 - motion fault: guard fault detected drive.,driveguard® fault detected.
436,"the group’s course update rate is too high to maintain correct operation. clear the group fault tag, raise the group’s update rate, and then clear the major fault.",allen brad,studio 5000 logix design,major fault t11:c32 - motion fault: motion task overlap. coarse update rate high.,motion task experienced overlap. coarse update rate high.
437,check the condition of the cst master in the backplane. ,allen brad,studio 5000 logix design,major fault t11:c33 - motion fault: coordinated system time reference lost.,coordinated system time reference lost.
438,"verify the following items.
•  a partner chassis is connected.
• power is applied to both redundant chassis.
• partner controllers have the same catalog number, slot number, and firmware revision.",allen brad,studio 5000 logix design,major fault t12:c32 - safety fault: disqualified secondary became primary.,disqualified secondary controller cycled power partner chassis controller found upon power-up.
439,"either:
• remove the unpartnered controller and troubleshoot the cause of the switch over.
• add a partner controller to the secondary chassis, troubleshoot the cause of the switch over, and synchronize the system.",allen brad,studio 5000 logix design,major fault t12:c33 - safety fault: partner found switchover.,unpartnered controller identified new primary chassis switchover.
440,"either:
• change the keyswitches from run to program to run mode twice to clear the fault.
• use the logix designer application to go online with the controllers. then, clear the faults and change both the controller's mode to run.",allen brad,studio 5000 logix design,major fault t12:c34 - safety fault: keyswitch positions primary secondary controllers mismatch,"switchover occurs, keyswitch positions primary secondary controllers mismatched. old primary controller program mode new primary controller run mode."
441,verify the wallclocktime is set to the correct date/time.,allen brad,studio 5000 logix design,minor fault t13:c21 - real time clock fault: wall clock time range.,wallclocktime range.
442,"clear the fault.
if a safety task signature exists, safety memory is reinitialized and the safety task begins executing.
if a safety task signature does not exist, you must redownload the program to allow the safety task to run.
reinsert the safety partner if it was removed.",allen brad,studio 5000 logix design,"major fault t14:c01 - safety task fault: task watchdog expired. may caused infinite loop, complex program, higher priority task, removal safety partner.","safety task watchdog expired. safety task completed specified period. program error caused infinite loop, program complex run quickly specified, higher priority task keeping task finishing, safety partner removed."
443,correct the error in the user-program logic.,allen brad,studio 5000 logix design,major fault t14:c02 - safety task fault: error exists routine safety task.,error exists routine safety task.
444,install a compatible safety partner.,allen brad,studio 5000 logix design,major fault t14:c03 - safety task fault: safety partner missing.,safety partner missing.
445,install a compatible safety partner.,allen brad,studio 5000 logix design,major fault t14:c04 - safety task fault: safety partner unavailable.,safety partner unavailable.
446,install a compatible safety partner.,allen brad,studio 5000 logix design,major fault t14:c05 - safety task fault: safety partner hardware incompatible.,safety partner hardware incompatible.
447,update the safety partner so that the firmware major and minor revision match the primary controller.,allen brad,studio 5000 logix design,major fault t14:c06 - safety task fault: safety partner firmware incompatible.,safety partner firmware incompatible.
448,"clear the fault.
if a safety task signature exists, safety memory is reinitialized via the safety task signature and the safety task begins executing.
if a safety task signature does not exist, you must download the program again to allow the safety task to run.",allen brad,studio 5000 logix design,major fault t14:c07 - safety task fault: safety task inoperable.,"safety logic invalid. example, mismatch logix exists primary controller safety partner, watchdog timeout occurred, memory corrupt."
449,clear the fault. configure a device to be the cst master.,allen brad,studio 5000 logix design,major fault t14:c08 - safety task fault: safety partner's time synchronized primary.,coordinated system time (cst) found. safety partner's time synchronized primary.
450,"clear the fault and download the program. if the fault persists, replace the safety partner.",allen brad,studio 5000 logix design,major fault t14:c09 - safety task fault: non-recoverable fault occurred safety partner.,nonrecoverable fault occurred safety partner.
451,"if your desired safety level is sil2/pld, remove the safety partner (since it does not participate in a sil2/pld configuration).
if your desired safety level is sil3/ple, change the project safety level to sil3/ple.",allen brad,studio 5000 logix design,minor fault t14:c12 - safety fault: safety partner detected project safety level sil2/pld.,safety partner detected project safety level sil2/pld.
