,Corrective Action,PLC,Model,fault,diagnostic
926,check the mounting position of the cpu module and mount it on the correct slot.,mitsubishi,logic control,sp unit layer error,cpu module mounted cpu slot slots 0 2.
931,"change the final module to the module on occupied points which does not exceed the 4,096th point.",mitsubishi,logic control,sp unit layer error,module mounted i/o points exceed 4096th point.
1126,specify the correct password for passwd fb and enter it again.,yokogawa,centum,invalid password passwd fb,password entered password set passwd fb match.
1092,replace the ic memory card compatible with fp2sh/fp10sh.,panason,fp0r,incompatible ic memory card error,ic memory card installed compatible.
415,replace the installed esm with one that is compatible with the controller.,allen brad,studio 5000 logix design,minor fault t10:c13 - energy storage fault: energy storage module incompatible controller type.,installed energy storage module compatible controller.
95,"if the hw configuration is inconsistent in the pg, then:
1. acknowledge this dialog
2. correct the hw configuration in the configuration table
3. restart the ""load"" function",siemen,step 7,problem connection receiver hw configur,inconsistent hw configuration pg
719,check the wiring for ch3. replace the sensor if it is broken.,click,click plus plc,io8 ch3 burnout,ch3 analog i/o module i/o8 position senses burnout open circuit.
135,bad installation of step 7,siemen,step 7,eprom driver cannot support set programming interface comput,message pg 720/740/760
534,"to reduce the number of connections:
• change the flex™ i/o communication adapter comm format from input or output configuration to rack optimization. when the comm format changes, the adapter must be removed and recreated in the i/o configuration tree.
• if the configuration uses messaging over controlnet, sequence the messages to reduce the number that are executing at the same time, or reduce the number of messages. messages (msg instructions) also use connections.",allen brad,studio 5000 logix design,connection request error: module connection limit exceeded.,number connections greater available module. number connections must reduced hardware must upgraded.
1298,remove the other application or selecting another port to use.,abb,800xa,port_in_us,port selected remote access server client already use another application.
205,"in the step7_v2/s7met directory delete the files s7cachea.dat and s7ser.dat with win95 explorer. the ending .dat can be left out; depending on the options package, there is also an s7cacheb -e.dat",siemen,step 7,function open environment implemetiert,multiple start simatic manag
1095,check the application logic.,yokogawa,centum,inter-scs safety communication error inform,error occurs application created incorrectly.
943,format the memory card.,mitsubishi,logic control,icm ope. error,memory card formatted.
913,check the network numbers and station numbers.,mitsubishi,logic control,sp unit layer error,network numbers station numbers exist melsecnet/10 network system.
193,upgrade cp 443-5 to a version >v2.7.,siemen,step 7,communication software (s7dos) interface module (cp) protocol.,customer step 7 v5+sp1 + new pdm cp 443-5 ext > v2.7. new protocol rpc 7 used data record routing cp s7dos. unfortunately versions version v2.7 cp function.
1073,re-configure the i/o map correctly,panason,fp0r,mewnet-f i/o mapping error,i/o overlap i/o setting range detected allocated i/o mewnet-f i/o map.
1242,install the i/o driver correctly.,yokogawa,stardom,cannot get clsid i/o driver.,i/o driver may installed correctly.
606,go offline with the controller and make the change and then download the modified project to the controller. ,allen brad,studio 5000 logix design,connection request error: controller's map instance attempted access connection invalid state.,remote controller’s map instance attempted access connection invalid state. attempt made initiate reconfiguration device supported control
970,set the number of send points to an even number.,mitsubishi,logic control,parameter error,number send points odd number.
1362,replace the cpu,siemen,pcs 7,failure cpu redundant oper,s7-400h redundant system mode cpu fails.
786,check wiring.,phoenix,axc 3050,voltag,undervoltage signal input incremental encod
81,replace glass electrode.,emerson,model 320hp,meter reads scal,broken glass electrode.
59,replace sensor,emerson,model 320hp,old glass warn,glass electrode worn
1328,"remove imasi23, verify expander bus dip shunt, verify imasi23 mod_x0002_ule address is same as fc 215 spec s1. reinsert imasi23 and verify proper seating.",abb,symphoni,missing i/o,indicated fc 215 block detected imasi23 error. (imasi23 module firmware reported error.)
702,check the wiring for ch1. replace the sensor if it is broken.,click,click plus plc,io5 ch1 burnout,ch1 analog i/o module i/o5 position senses burnout open circuit.
379,correct the sfr target or add the missing step.,allen brad,studio 5000 logix design,major fault t04:c89 - program fault: target step exist specified routine.,"sfr instruction, target routine contain target step."
463,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c11 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
569,"this module requires a particular set of connections and connection types, and one of those connection types is missing.",allen brad,studio 5000 logix design,connection request error: required connection miss,controller attempting set connection module received error.
1005,correct and write the parameters.,mitsubishi,logic control,sfc parameter error,contents parameter setting illegal.
1178,disable the windows power-saving mode.,rockwel,plantpax dc,windows power-sav,windows power-saving enabled turns windows os features interfere network throughput.
1342,connect the cable,siemen,s7-1500,wire break,interruption cable analog on-board i/o sensor
1117,check and confirm that the total number of pou indicated in this message is equal to the total number of pou indicated by database validity check tool.,yokogawa,centum,information resource change online change download,resource changed online change download.
639,use configuration software to configure the interface then store the configuration to the plc cpu.,ge,series 90-30,ok led slow blink oth,new cpu configuration.
68,replace sensor.,emerson,model 320hp,"temp error high, temp error low",open shorted rtd.
651,replace is defective.,ge,series 90-30,output module l,led light may bad.
989,correct and write the network parameters.,mitsubishi,logic control,link parameter error,head i/o number ethernet setting parameter differs i/o number. actually mounted module.
868,check whether the external power supply for output load is on or off.,mitsubishi,logic control,fuse break,external power supply output load turned disconnected.
279,"the following steps permit you to process the object:
1. save the changes made in all other applications and make sure that no other user is currently processing this object.
2. make sure that there is sufficient virtual memory on your computer, see in this case the informations of the readme file of step 7 by 3.2 memory requirements.",siemen,step 7,changes cannot made. save changes appl,error message indicates access object possible moment object could blocked. error message various causes: 1. object currently processed another application user therefore blocked. 2. insufficient memory available.
318,"please check the syntax of the address in the vat, or whether the address is available in the system or perhaps not addressable (wiring fault, hardware fault).",siemen,step 7,time limit exceeded process operating.,"message appears function ""control via vat"" address memory areas i, o, m, timer, counter, db, available broadest sense."
196,check the spelling of your search key and your database reference.,siemen,step 7,compiler information: element found.,element could found referenced database.
360,legacy. now an unused fault code.,allen brad,studio 5000 logix design,minor fault t04:c32 - program fault: routine type supported.,routine type supported.
31,check power board,emerson,model 54,alarm relay closur,alarm relays clos
1154,change the communication module.,yokogawa,centum,failure i/o modul,error found resetting communication module.
711,apply 24vdc to the analog i/o module.,click,click plus plc,io7 missing 24v,analog i/o module i/ o7 position missing external 24vdc input.
1237,match the number of array elements.,yokogawa,stardom,mismatch number array el,data instance defined different number array elements object builder logic designer.
602,contact rockwell automation support. ,allen brad,studio 5000 logix design,connection request error: invalid input network connection type.,module entry controller incorrect.
188,1. unplug the online cable of the cpu and wait at least 1 minute. it is not enough to unplug the cpu just briefly. 2. shut down your programming device and wait 1 minute before switching it on again. a simple reboot is not always sufficient.,siemen,step 7,(d063) resources error: trigger event occupied.,longer possible monitor block. behavior triggered irregular termination process operating system.
3,clean electrode as instructed in sensor manual,emerson,model 54,high reference imp,coated reference electrod
452,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c00 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
589,contact rockwell automation support. ,allen brad,studio 5000 logix design,connection request error: invalid output data pointer.,module entry controller incorrect.
1060,try to send the program again.,panason,fp0r,program error,program may damaged.
1079,install an ic memory card that has the program proterly recorded and execute the read once again.,panason,fp0r,ic card read error,program size stored card larger capacity cpu.
847,check server connection error counter.,schneider,modicon tsx,cannot send messag,server failur
260,check the block with reference to the commands used based on the operations list for the cpu implemented.,siemen,step 7,unable copy block %2. want continue copy procedure?,block using statements realized cpu (e.g. ent s7-300 cpu).
165,can be determined in the bios (pci).,siemen,step 7,online: hardware found.,"windows nt, check pc mpi-isa card cp5611"
1330,verify fc 215 spec values and all linked fc 216s are correct.,abb,symphoni,configuration error - undefined input,"circular link, fc 216 block appears channel link list."
1209,"reduce connections by consolidating tags into one structure or tag, or by deleting all but the most crucial produced tags. also make sure that the number of maximum consumers that are configured for a produced tag is set to th e minimum needed.",rockwel,plantpax dc,produced tag,number connections used produce tags exceeds 50% controller capacity.
1153,change the communication module.,yokogawa,centum,failure i/o modul,error found self-diagnosis.
46,try power down and powe back.replace electronics if necessary,emerson,model 54,"controller operating, ading chemical setpoint, adding setpoint holding setpoint",electronics failur
1369,replace the redundant profibus dp interface module,siemen,pcs 7,failure redundant profibus dp interface modul,"s7-400h redundant system mode profibus dp interface module (im 153–2, im 157) fails."
803,"parameterize the specified device. 
restart the device. 
replace the device if the error persists.",phoenix,axc 3050,device softwar,device error: lost paramet
1282,ensure there is enough number of licenses for multisystem integration.,abb,800xa,no_licens,enough number licenses multisystem integr
1098,check the producing side scs and the communication path.,yokogawa,centum,communication stopped data longer arrived.,"communication cut off, producing side stopped."
1077,install an ic memory card that has the program proterly recorded and execute the read once again.,panason,fp0r,ic card read error,writing disabled.
988,correct and write the network parameters.,mitsubishi,logic control,link parameter error,"although number modules set 1 ethernet module count setting parameter setting, number actually mounted module 0."
643,connect cable and transceiver properly. replace transceiver.,ge,series 90-30,"ok (on), lan (on/traffic/off), ser (off), stat (on/off)",lan led tranceiver may connected interface orethrnet cable. bad transceiver.
1224,there is an error in the argument.,yokogawa,stardom,invalid parameter.,parameter argument incorrect.
998,correct and write the network parameters.,mitsubishi,logic control,link parameter error,"although number modules set 1 cc-link module count setting parameter setting, number actually mounted module 0."
480,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c28 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed. upload save program controller powered down.
784,check wiring.,phoenix,axc 3050,current,sensor supply overload
170,check in the pg/pc interface whether a ts adapter is addressed with the pc adapter driver. also check the settings of your pg and the pc adapter (informations you will find in the faq !10420976!).,siemen,step 7,"version adapter connected support bus parameters set connected adapter type assigned program ""setting pg/pc interface""",probably versions drivers pc adapter pc/mpi card incompatible.
237,"1. close all the step 7 applications except the simatic manager. 2. with the menu command ""file > save as (with reorganization (slow)) "" create a of the project which you can then continue to work with. because of the faults in the existing project, this copy might not contain all the data of the original project.",siemen,step 7,open project: s7fupos: internal error save data server s7ombstx.dll.,inconsistent project. application fm 453 registered errors saving machine dbs. possible cause shortage storage space computer.
10,check sensor in buffers; replace if calibration unsuccessful.,emerson,model 54,old glass warn,sensor process
1163,"if a system contains optical esb bus repeater module, the proper revision of cpu should be used.",yokogawa,centum,self-diagnosis detected i/o error cpu modul,revision firmware (f4) used cpu module obsolete system configured optical esb bus repeater modules.
101,split the slaves across different segments if possible or reduce the number of slaves for the master system concerned.,siemen,step 7,"maximum possible number slots within inserted slaves exceeded %1 slot(s).""",slaves configured permitted master system
851,"reduce the number of requests sent to the server.
start an additional queue for data access and send requests on that path.",schneider,modicon tsx,slow response caused scada,"observed response time slow, queue scada requests server cause long delay."
962,change the file register file for the one refresh-enabled in the whole range.,mitsubishi,logic control,parameter error,automatic refresh range multiple cpu system exceeded file register capacity.
491,"to determine corrective action, see the initialization fault mfg attributes. the corresponding bit indicates the cause of the fault.",allen brad,studio 5000 logix design,major fault t18:c02 - cip motion fault: manufacturer specific initialization fault detected drive.,drive initialized correctly. fault indicates manufacturer-specific initialization fault.
383,user-defined action.,allen brad,studio 5000 logix design,major fault t04:c990 - program fault: user-defined fault.,user-defined major fault.
735,restart the device.,phoenix,axc 3050,code failed servic,service decoding failed.
1318,cold junction reference is not zero and has bad quality.,abb,symphoni,cold junction reference error,calibration error (02h) problem report (from fc 215)
788,check the supply,phoenix,axc 3050,voltag,i/o supply voltage failur
49,replace reference electrolyte,emerson,model 54,display reads scal,reference deplet
1020,set the numbers of the cc-link instructions to be executed to 64 or less.,mitsubishi,logic control,operation error,number cc-link instructions executed exceeds 64.
