PLC,Model,Fault,Diagnostic,Corrective Action
siemens,step ,the symbol table is being by another process,in the window that opens the symbols are greyed out since editing is not possible the symbol editor does not show any changes it is not possible to save the table and it is not possible to access the symbols,"make the changes directly in the symbol table and save it after saving the table you can edit the symbols in the ladfbdstl editor after closing and opening the dialog box again
if you want to edit the symbols directly in the ladfbdstl editor close the symbol editor and reopen the dialog box edit symbols in the ladfbdstl editor"
siemens,step ,the symbol table is occupied by another process,in this case you can no longer edit delete or import the symbol table the symbol table is not occupied by any other application for writing you have stored the project locally on the hard disk the same error is also displayed with the save with reorganization function of the project,"in order to control this check your project
 in each project there is a ydbs directory where all the symbol lists are stored
 use explorer to find files with the suffix dbf   tmp in this and all subordinate directories
 terminate the step applications and delete these files then you can edit all the symbol lists again
it is imperative to make sure that you do not delete other files by mistake in the project because this could destroy the project"
siemens,step ,the symbol table is occupied by another process,in this case you can no longer edit delete or import the symbol table the symbol table is not occupied by any other application for writing you have stored the project locally on the hard disk the same error is also displayed with the save with reorganization function of the project," first of all try closing all the step  applications including the simatic manager
 if editing the symbol table continues to be impossible then please reboot your computer to make sure that all the step  applications have been closed then open the symbol table again
 if none of the above steps is successful open the ydb path mentioned above in the project directory in this directory delete any files with the file name deletedtxt and updatetxt and a size of  kb and any empty folders you will then be able to edit the symbol table again"
siemens,step ,internal error incorrect object id,the symtabs function has failed  ambiguous entry in the symbol list for fc names,delete the line for the fc in the symbol table
siemens,step ,internal error incorrect object id,"when calling an fb a db was assigned that is already assigned to
another fb in the symbol table","assign a different db in the call or correct the assignment in the symbol
table"
siemens,step ,error by opening of a file,the file either has no valid bctrieve format or it is damaged,replace the file or delete it
siemens,step ,the reference data could no be generated,the data medium is writeprotected,remove writeprotection
siemens,step ,the reference data could no be generated,under nt possibly insufficient access rights,you need at least main user rights
siemens,step ,unable to copy the block ,the obxy is not supported by the cpu,this obxy cannot and must not be downloaded into this cpu you can possibly use another obxy with a similar function which is suitable for this cpu and then download it
siemens,step ,unable to copy the block ,when programming an eprom via an external prommer the prommer cable is plugged in incorrectly,plug in the prommer cable so that the connector with the yellow sticker is connected to the prommer
siemens,step ,unable to copy the block  do you want to continue the copy procedure,a block of this type already exists and it may not be overwritten,delete the equivalent block in the online database and repeat the transfer
siemens,step ,unable to copy the block  do you want to continue the copy procedure,the automation system is in the run operating mode,put the automation system into an operating mode that permits copying
siemens,step ,unable to copy the block  do you want to continue the copy procedure,"a block of this type and number is not permitted on the automation
system",check whether a block of this type and this number may be copied onto an automation system of the present type
siemens,step ,unable to copy the block  do you want to continue the copy procedure,"the block is using operands beyond the area of the cpu eg ew 
with s cpu",check the block with reference to the addresses used whether they do not exceed the permitted address area in the cpu implemented
siemens,step ,unable to copy the block  do you want to continue the copy procedure,the block is using statements that are not realized in the cpu eg ent with s cpu,check the block with reference to the commands used based on the operations list for the cpu implemented
siemens,step ,unable to copy the block  do you want to continue the copy procedure,the block has to much local data eg more than  bytes with s cpu,when implementing an s you must reduce the local data area for this block if you implement an s cpu you can parameterize the necessary local data area for each run level
siemens,step ,unable to copy the block  do you want to continue the copy procedure,referenced block sfc sfb is not permitted in this module,check whether the blocks that are to be downloaded are permitted on the cpu concerned
siemens,step ,the block  is being processed by another application or another user at the momentndo  you want to create the reference data for the saved version of the block,multiusers the block specified is being processed at the moment by another application or by another user you can create a copy of the last version saved or  cancel the function,if you are working with several colleagues on your s project then it is recommended not to process this block without prior synchronization with your colleagues
siemens,step ,the block  is being processed by another application or another user at the momentndo  you want to create the reference data for the saved version of the block,single users the block is opened online as offline,close the block once online or offline
siemens,step ,the order was interrupted to the tsadapter because of transmission error,the initialization string is not correct or in this form does not work together with the modem connected to the system,the initialization string in the ts adapter must be modified in the direct operating mode so that it matches the modem
siemens,step ,the order was interrupted to the tsadapter because of transmission error,on the system there is not a ts adapter but a pc adapter on the modem the ts adapter has order number escaxxa,exchange the adapter for a ts adapter
siemens,step ,the order was interrupted to the tsadapter because of transmission error,possibly the terminator on the profibus cable on the system side teleservice is switched on,switch off the bus terminator
siemens,step ,the order was interrupted to the tsadapter because of transmission error,possible the modem is sending too much information to the ts adapter so that it doesnt get the connect occurs with v adapters,add w to the initstring in the adapter this suppresses the sending of extended data
siemens,step ,the order was interrupted to the tsadapter because of transmission error,if you attempt to get connected via long telephone routes abroad then it might happen that some feedback messages have too long a runtime,in teleservice under options  settings  monitoring times change the value for acknowledgmentsignal from automatic to ms  ms
siemens,step ,the tapiorder was closed with the error order failure,basically communication between local pc and modem via the serial connection is not correct or cannot even be started,check the connection between the local pc and modem for both hardware and softwaredriver faults
siemens,step ,the tapiorder was closed with the error order failure,under windows start  settings  control panel  modems an incorrect or no modem driver has been installed which does not work in conjunction with the modem connected,install the appropriate modem driver for this modem also set this new modem in teleservice under set connection  modem doubleclick the telephone book entry and then select the modem item
siemens,step ,the tapiorder was closed with the error order failure,the wrong modem driver was selected under teleservice from the selection list of modems that are already installed under windows,set the correct modem driver in the selection list
siemens,step ,the tapiorder was closed with the error order failure,the modem is not connected to a serial interface or to the wrong one,connect the modem to the correct serial interface
siemens,step ,the tapiorder was closed with the error order failure,the modem is switched off,switch on the modem
siemens,step ,data basis could not be started,"occurs as a consequence of message  and details  when executing the function reorganize or save as with consistency check
this occurs when a link is lost in the sybase database",the problem can be solved by deleting the file amdbaselog search in your project path for the log file of the sybase database amdbasedb warning if this file does not exist then search the project for log or loc files
siemens,step ,at least one of the selected variables cannot be inserted at this point,if while you are processing a project in step  v which has been created with step  v and the error message described above appears in the ladstlfbd editor when you insert a declaration line within an fb or fc please check the names of the formal parameters in the declaration line for the block in question this could be due to the fact that the name retval has been assigned to a formal parameter in out inout stat or temp variable,"in this event the name retval must be renamed
 from step  version v onwards users may no longer define the key term retval for the formal parameters version v still supported the entry retval in the declaration line in step  projects which were created in v and did not stop the block
 however step  version v no longer supports the name retval in the declaration line and the behavior described above occurs"
siemens,step ,"om tdop data basis conflict of version
file csteppfadprojektnamestdopdbf has the version 
this program expected the version ",the versions of step  and protool are incompatible with those of the project  step  is vx and protool v,upgrade step  to vx or deinstall protool and install v of protool
siemens,step ,unable to insert the object,you have tried to slot an object that is not available eg the header for an object group or module class,select an object subrack module interface module from the hardware catalog which you can slot in the required location
siemens,step ,changes cannot be made save your changes in other applications,"the error message indicates that access to the object is not possible at the moment and that the object could not be blocked this error message can have various causes
 the object is currently being processed by another application or user and has therefore been blocked
 there is insufficient memory available","the following steps permit you to process the object
 save the changes made in all other applications and make sure that no other user is currently processing this object
 make sure that there is sufficient virtual memory on your computer see in this case the informations of the readme file of step  by  memory requirements"
siemens,step ,creating the configuration data failed,hard disk is full,deleted all the unnecessary files on the hard disk
siemens,step ,creating the configuration data failed,no folder siemensstepstmp available or the folder is write protected,remove the writeprotection from the folder siemensstepstmp or create the folder
siemens,step ,creating the configuration data failed,s program or m program container is missing,create s program or m program container
siemens,step ,creating the configuration data failed,defective project,use save as with reorganization
siemens,step ,creating the configuration data failed,"the compilation  creation of the configuration data has been
interrupted",reinstall step 
siemens,step ,error attempting to generate the configuration data message refers to the vprojects by save as with reorganization,subnet addresses of different networks are identical,check the subnet addresses and make appropriate corrections in the case of identical subnet addresses
siemens,step ,no changes can be made in this station,no more modules can be inserted in the hw config,use save as with reorganization for the project please see also the instruction by the error message 
siemens,step ,another application made changes to your station close this station and reopen it,"another s application has changed for example via network the station currently being processed the changed objects subrack modules slaves etc can no longer be displayed
the station has been blocked for further processing",you can remove the block by closing the station and reopening it this makes the changes of the other application effective
siemens,step ,error by programming of error diagnostic data for name of variable,group message behind it detailed messages are listed that occurred during the last function executed,please press the details button and analyze the detailed messages
siemens,step ,the start of an application has occurred an error,message appears when opening a higraph source with the following software constellation step  v  sp  shigraph v s project created with shigraph vx,cleared with k
siemens,step ,address is not correct,you have selected a user address that is already occupied,please select another address or connect your user to another subnetwork
siemens,step ,the bit rate of  kbits for the modul mbkp is not supported in station simatic ,in step vsp and higher the baud rate must not be written with a comma eg supp ,"open and edit the file enter supp  instead of supp 
execute options  update catalog"
siemens,step ,file name entered is not valid or project is invalid if you attempt to open a project,"this message appears when you stored your project on a network drive which is connected to the following path via the internet explorer or a logon script
servernamednssuffixshare or
ip addressshare
however this path cannot be found since the network connection is stored only symbolically in the registry","in order to be able to open your project please connect the share without the domain name via
servernameshare example computershare"
siemens,step ,projects which are opened can not be archived make sure that in non step  application objects of the projects  are opened in the directory c,the reason for this error message are blocked files which are also blocked though all the windows of editors and projects are closed this is possible when the program is active and the last access was to the archived project souch programs are not always to see as user window,with wincc or wincc flexible will be started a sql server which should be stopped you will find this in the task bar you will also find here icons of wincc flexible which are mini web or smart server if you will stop these applications the archiving should be possible again if not then start the task manager and check in the process list whether the process hmiesexe is active if you delete this process then the archiving should be possible again
siemens,step ,unable to retrieve the project the archive file might be defective,the archive file has not been created with pkzip in particular archives that have been created with winzip or pkzip for windows and include long file names can lead to this error,dearchive using the archiving program with which the archive was created
siemens,step ,unable to retrieve the project the archive file might be defective,the archive file has been created with a version of pkzip that is newer than the version of pkunzip installed on this computer,if you are using an old version of pkunzip then install the latest version
siemens,step ,unable to retrieve the project the archive file might be defective,the archive file is damaged,"try to get a good copy of your archive file if this is not possible you can try to save what is possible to save using the repair option of pkzip
 start the msdos prompt and enter the command pkzipfix archiv a file is created called pkfixedzip  if pkzipfix can even identify the file as being zipcompatible from the simatic manager dearchive the file pkfixedzip instead of your original archive file"
siemens,step ,unable to retrieve the project the archive file might be defective,the data medium or the directory in which the dearchived project is to be stored is writeprotected or you have no write authorization for the network drive,remove the writeprotection or obtain write authorization for the network drive or dearchive the project into a different directory
siemens,step ,"the fb is not available
the instance declaration is missing",if during compilation in spdiag the mentioned error message then it is probably the case that the spdiag blocks have also been copied from another step  during the copying procedure this is not permissible because the associated sfbs are then no longer up to date," delete all sfbs open and save the fbs fcs and obs which fetches the sfbs from the current library
 now compile the blocks of the s program again with sdiag which should solve the problem"
siemens,step ,"the fb is not available
the instance declaration is missing",if during compilation in spdiag the mentioned error message then it is probably the case that the spdiag blocks have also been copied from another step  during the copying procedure this is not permissible because the associated sfbs are then no longer up to date,make the check block consistency and compile the complete step  program
siemens,step ,invalid data type,the error message is probably caused by an associated value with an invalid data type please also refer to the information in the online help of sdiag concerning the data types that are valid for associated values,"excerpt of the online help of spdiag
this associated value can have a parameter of the type bool byte char word int dword dint or real from the e a m or db areas likewise you can enter local variables of an fb to which an error definition is attached these are extended upon generation according to the type instance concept"
siemens,step ,the registry database is not set up correctly for the simatic manager ,installation is faulty,install step  again
siemens,step ,no objects can be copied or moved from projectslibraries of the current version to projectslibraries of version x,in step  there is no downward compatibility the data management in v and v is not the same so blocks created with step  v or higher cannot be copied or moved into vx projects ,an attempt was made to copy or move an object from a version v project or from a version v library into a version v project or library this is not possible because of incompatibility
siemens,step ,"the project or the library   is on a write
protected medium",the project is either located on a writeprotected floppy disk or you do not have write authorization for the drive,remove the writeprotection if you want to modify objects in this project please see the instruction by error message 
siemens,step ,"the project or the library   is on a write
protected medium",the project catalog was released in the windows explorer with readwrite access,release higherlevel catalog of the project  eg stepsproj for access via network drive
siemens,step ,the internet explorer is not installed in your pc,step  v has been installed without the internet explorer and you are trying to start the online help,please install the internet explorer v and then reinstall step 
siemens,step ,the internet explorer is not installed in your pc,the online help was started and the internet explorer was installed after the installation of step ,reinstall step 
siemens,step ,the diagnostic block could not be created,"standard blocks in the program originate from the plc and not from the library
if the project has been created per upload by the plc with an earlier version of step  or standard blocks have been copied from the plc into the offline program","check your interface to the user block
if your user program contains standard blocks with default symbolic then please delete these sfbs and sfcs and reinsert them from the library this corrects the interface of these blocks"
siemens,step ,while reporting a system error an internal error has ocurred,the internal error occurs while the reference data is being regenerated,"you can regenerate the fb and db in the hardwareconfiguration as follows
 highlight the cpu with the cursor under extras  reporting system errors  register general you can now newly generate the diagnostics fb and the diagnosticsdb finally save and translate the hardware configuration once more
 you can also newly generate the diagnosticsfb and the diagnosticsdb by means of save and translate if you change the following setting under station  properties   register settings the option calling when saving and translating has to be activated"
siemens,step ,inconsistent of hardware configuration,the hardware configuration is either inconsistent or it was made changing which are not still save and compiled,if it is not possible to compile the hardware configuration after this message so make a little change in the hardware configuration after it is possible again to save and compile
siemens,step ,no connection to fm,old firmware on the fm,upgrade the firmware of fm
siemens,step ,the authorisation for simatic pdm is not installed simatic pdm could not be started,authorization permitting you to integrate simatic pdm in step  is missing this authorization is an option authorization that has to be installed in addition to the basic authorization of simatic pdm,you must install the additional authorization for integrating simatic pdm in step 
siemens,step ,system error ,this meesage appears during the upload of the hardware configuration it is possible that the load of the sdbs was not complete or incorrect,make a reset of the cpu modul and load the hardware configuration of the offline project again
siemens,step ,"an error occured while creating or interpreting the system sdbs   
error while creating systemdata   ","regarding mentioned messages occur while saving and translating in hw config if the following applies
 you projected and assigned a cp to a subnet in your hardware configuration
 files with the extension err will be deleted by some optimization programs  like eg tuneup",step has to be reinstalled or the missing err files have to be copied from a different computer in order to be able to translate the hardware configuration again
siemens,step ,error of protokol,job jam on the cpu,in the hw config increase the setting for the communications load for thecpu
siemens,step ,error during notice by module status of cpu,a pqw is being monitored you cannot read back pqws the cpu then reports this error,monitor values with vat and wait for new cpus
siemens,step ,error of data the reference order is not available,when controlling using variable monitoring it might happen that if too many control jobs are sent to the cpu they are rejected by the cpu because its buffer is full,acknowledge the message and reduce the frequency of control jobs
siemens,step ,"the time limit is exceeded in process
operating",communications load is too high,increase the communications load of the cpu from default  to 
siemens,step ,"the time limit is exceeded in process
operating",message appears with the function control via vat to an address from the memory areas i o m timer counter db which is not available in the broadest sense,please check the syntax of the address in the vat or whether the address is available in the system or perhaps not addressable wiring fault hardware fault
siemens,step ,"an error in the rules of coordinating has
occured",when attempting to load system data in the background a variable table was still open online,close the variable table and retransfer the system data
siemens,step ,the ob can not be copied because the belong layer is not available,message comes from a cpu an attempt is being made to transfer an ob onto this cpu which is not permissible,if possible rename the ob or even delete it in the offline database and retrigger the transfer
siemens,step ,an error in the rules of coordinating has occured,occurs if a block that is to be overwritten online is still being accessed in v with blocks in the call environment,deactivate the setting call path with testcall environment then the block can be downloaded
siemens,step ,an error in the rules of coordinating has occured,occurs when an object is accessed online also vat,close everything except hw config
siemens,step ,error during opening of a empty document error during opening of a symbolic table,an incompatible opc manager is installed in the system path of windows vcflic is responsible for this,delete this file and the file vcfocx and reinstall step 
siemens,step ,setup does not start with error message in function sdbitmapunable to crate dialog make sure the isresdll is in setuplib,the isresdll is needed for switching languages,start setup with the extension  olb then the setup is forced to start in english
siemens,step ,error during compilation of a modul in s the module ob could not be copied,this message appears when the defined variable marker in or output in a module is not in the power range of the cpu,example this message appears if the number of outputs is  byte by the cpu and you have defined a variable outside of this range check the addresses with the definition of your variables
siemens,step ,the requested informations are not available,number of possible connections has been exceeded,check the connections and reduce where appropriate static connections can be converted into dynamic connections
siemens,step ,the protocols of communication software sdos and the interface module cp are not compatible,the customer has a step  vsp  recent pdm and a cp  ext  v the new rpc  protocol is used for data record routing between the cp and sdos unfortunately  the cp up to version v does not support this function,upgrade cp  to a version v
siemens,step ,the protocols of communication software sdos and the interface module cp are not compatible,the user is using the correct components step  v  sp  pdm but has a cp that does not have the dsgw,check the configuration and replace the cp being used with a different cp that has this function
siemens,step ,"error message by diagnostic profibusmpi network diagnostic
error requested parameter could not be read from the register data basis",firmwaredriver error,this behavior no longer occurs in softnet profibus s v
siemens,step ,incompatible versionen by sotbldxdll and sotblsxdll,s applications are still running at setup of step ,please close all s applications and restart setup
siemens,step ,"incompatible versionen by sotbldxdll and
sotblsxdll",step  has been installed on a computer on which an s options package or version of protool win cc is already installed which is not compatible with the version of step ,please search for sot on all your local drives and delete them then please restart the setup of step 
allen bradely,studio  logix designer,major fault tc  powerup fault power lost and restored in run mode,the controller that is powered on is in run mode,execute the powerup handler
allen bradely,studio  logix designer,minor fault tc  powerup fault ac power loss detected chassis active until dc power cannot be maintained,ac power loss detected chassis active until dc power cannot be maintained,legacy now an unused fault code
allen bradely,studio  logix designer,minor fault tc  powerup fault io power fault detected,"a  power supply is connected directly to the controllers  compactbus with an invalid configuration
the  power supply that provides power to  the controller has failed","remove the power supply from the  compactbus and cycle power to the system
replace the power supply"
allen bradely,studio  logix designer,major fault tc  powerup fault io communications configuration fault detected,io communication configuration fault detected compactlogix lx controllers only,reconfigure the number of communication modules on the  bus side of the controller
allen bradely,studio  logix designer,minor fault tc  powerup fault voltage has exceeded operating limits,voltage has exceeded operating limits,legacy now an unused fault code
allen bradely,studio  logix designer,major fault tc  powerup fault energy storage modulebattery failed during power down,"if the controller uses a battery the battery does not contain enough charge to save the user program on powerdown

if the controller uses an esm energy storage module the esm does not contain enough charge to save the user program on powerdown","for controllers that use a battery replace the battery
for controllers that use an esm energy storage module
 allow the esm to charge fully before powering down the controller
 replace the esm if the esm is removable or replace the controller if the esm is not removable
"
allen bradely,studio  logix designer,major fault tc  powerup fault nonrecoverable fault,"for a controller with no memory card installed the controller
 detected a nonrecoverable fault
 cleared the project from memory"," clear the fault
 download the project
 change to remote run or run mode"
allen bradely,studio  logix designer,major fault tc  powerup fault nonrecoverable fault with saved diagnostic information,"for a controller with a memory card installed the controller
  detected a nonrecoverable fault
  wrote diagnostic information to the memory card
  cleared the project from memory"," clear the fault
 download the project
 change to remote run or run mode"
allen bradely,studio  logix designer,major fault tc  powerup fault nonrecoverable fault with saved diagnostic information and stored user program,"for a controller with a secure digital sd card installed the controller
 detected a nonrecoverable fault
 wrote diagnostic information to the memory card"," clear the fault
 download the project
 change to remote run or run mode
if the fault persists contact rockwell automation support"
allen bradely,studio  logix designer,minor fault tc  io fault compact io end cap missing,compact io end cap missing,install the end cap
allen bradely,studio  logix designer,minor fault tc  io fault pointbus backplane bus off,pointbus backplane bus off condition the connections between the controller and the io modules are broken,"complete these steps to identify the source of the bus off fault
  the number of local expansion modules in the project matches the number of modules that are physically installed in the system
  all mounting bases are locked and io modules are securely installed on mounting bases
 all  point io modules are configured to use the autobaud rate"
allen bradely,studio  logix designer,major fault tc  io fault io module connection failed on required module,a required io module connection failed,"verify the following
 io module is in the chassis
 electronic keying requirements
 controller properties major fault tab and the module properties connection tab for more information about the fault"
allen bradely,studio  logix designer,major fault tc  io fault unable to read controlbus chassis information  chassis may be bad,possible fault with the chassis,not recoverable replace the chassis
allen bradely,studio  logix designer,major fault tc  io fault unable to read controlbus chassis information chassis may be bad,possible fault with the chassis,not recoverable replace the chassis
allen bradely,studio  logix designer,major fault tc  io fault at least one required connection not established before going into run mode,at least one required connection was not established before going to run mode,wait for the controller io light to turn green before changing to run mode
allen bradely,studio  logix designer,major fault tc  io fault controller failed to open an io connection to a faulttolerant io module because its partner controller is in a primary state,the controller failed to open an io connection to a faulttolerant io module because its partner controller is in a primary state," make sure that the redundancy module is correctly inserted and connected
 synchronize the redundancy controllers so that only one controller is in the primary state"
allen bradely,studio  logix designer,minor fault tc  io fault module rpi overlap detected,the current rpi update of an io module overlaps with its previous rpi update,set the rpi rate of the io modules to a higher numerical value rockwell automation recommends that the compactlogix  l and compactlogix  l control systems do not run with module rpi overlap faults
allen bradely,studio  logix designer,minor fault tc  io fault io module does not support data integrity,the io module does not support data integrity,legacy now an unused fault code
allen bradely,studio  logix designer,minor fault tc  program fault arithmetic overflow  result of an arithmetic instruction out of range,the result of an arithmetic operation is out of range,examine the arithmetic operations order or adjust the values
allen bradely,studio  logix designer,minor fault tc  program fault gsvssv object address invalid,in a gsvssv instruction the specified instance was not found,check the instance name
allen bradely,studio  logix designer,minor fault tc  program fault gsvssv operand invalid,"in a gsvssv instruction either the
 specified class name is not supported
 specified attribute name is not valid",check the class name and attribute name
allen bradely,studio  logix designer,minor fault tc  program fault gsvssv destination tag too small to hold all data,the gsvssv destination tag was too small to hold the data,fix the destination so it has enough space
allen bradely,studio  logix designer,major fault tc  program fault unknown instruction encountered,unknown instruction encountered,remove the unknown instruction this probably happened due to a program conversion process
allen bradely,studio  logix designer,major fault tc  program fault array subscript too large or control data type pos or len invalid,the array subscript is too large or the control data type pos or len value is invalid,adjust the value to be within the valid range do not exceed the array size or go beyond the dimensions defined
allen bradely,studio  logix designer,major fault tc  program fault control data type len or pos less than ,control structure len or pos  ,adjust the value so it is  
allen bradely,studio  logix designer,major fault tc  program fault unknown data type passed to subroutine,unknown data type passed to subroutine,legacy now an unused fault code
allen bradely,studio  logix designer,minor fault tc  program fault ascii instruction failed,an ascii instruction failed bad parameters passed through to the ascii port,verify the ascii configuration settings
allen bradely,studio  logix designer,major fault tc  program fault jsr or ret did not pass as many parameters as expected,the parameters of the jsr instruction do not match those of the associated sbr or ret instruction,pass the appropriate number of parameters if you pass too many parameters the extra ones are ignored without any error
allen bradely,studio  logix designer,minor fault tc  program fault routine type not supported,routine type not supported,legacy now an unused fault code
allen bradely,studio  logix designer,major fault tc  program fault a timer instruction had a negative value for its pre or acc,a timer instruction has a negative preset or accumulated value,fix the program so that it cannot load a negative value into the timer preset or accumulated value
allen bradely,studio  logix designer,pid delta time was less than ,pid delta time less than zero,adjust the pid delta time so that it is  
allen bradely,studio  logix designer,pid setpoint out of range for target module,pid setpoint out of range,adjust the setpoint so that it is within range
allen bradely,studio  logix designer,major fault tc  program fault jmp to a label that did not exist or was deleted,jmp to a label that did not exist or was deleted,correct the jmp target or add the missing label
allen bradely,studio  logix designer,minor fault tc  program fault len value outside data limit,the len value of the string tag is greater than the data size of the string tag," check that no instruction is writing to the len member of the string tag
 in the len value enter the number of characters that the string contains"
allen bradely,studio  logix designer,minor fault tc  program fault defined string size is invalid,the output string is larger than the destination,create a string data type that is large enough for the output string use the new string data type as the data type for the destination
allen bradely,studio  logix designer,minor fault tc  program fault numeric result cannot fit in destination,the output number is beyond the limits of the destination data type,"either
 reduce the size of the ascii value
 use a larger data type for the destination"
allen bradely,studio  logix designer,minor fault tc  program fault buffersize value reduced amount of data,buffersize value reduced amount of data,legacy now an unused fault code
allen bradely,studio  logix designer,minor fault tc  program fault serialport control len value was incorrect,serialport control len value was incorrect,legacy now an unused fault code
allen bradely,studio  logix designer,minor fault tc  program fault invalid start andor quantity value,the start or quantity value is invalid,"check the following
 the start value is between  and the data size of the source
 the start value plus the quantity value is less than or equal to the data size of the source"
allen bradely,studio  logix designer,minor fault tc  program fault cannot execute ahl when serialport set to nohandshaking,the ahl instruction failed to execute because the serial port is set to no handshaking,"either
 change the control line setting of the serial port
 delete the ahl instruction"
allen bradely,studio  logix designer,major fault tc  program fault could not reenter an executing sfc routine,a sequential function chart sfc called a subroutine and the subroutine tried to jump back to the calling sfc this occurs when the sfc uses either a jsr or for instruction to call the subroutine,remove the jump back to the calling sfc
allen bradely,studio  logix designer,major fault tc  program fault value out of range,the data tested was not inside the required limits this occurs with array subscripts used with boolean arrays and bit level addressing,adjust the value to be within the valid range do not exceed the array size or go beyond the dimensions defined
allen bradely,studio  logix designer,major fault tc  program fault stack overflow  stack too small to perform operation,stack overflow,reduce the subroutinenesting levels or the number of parameters passed
allen bradely,studio  logix designer,major fault tc  program fault invalid routine type,invalid routine type,use a valid routine type
allen bradely,studio  logix designer,minor fault tc  program fault access violation in user program,access violation in user program,contact rockwell automation technical support 
allen bradely,studio  logix designer,minor fault tc  program fault external routine dll load failed  perhaps a dll on which it depends is missing,external routine dll load failed , dll missing or malformed confirm and adjust
allen bradely,studio  logix designer,minor fault tc  program fault exception in external routine dll,exception in external routine dll,troubleshoot the external routine dll
allen bradely,studio  logix designer,major fault tc  program fault target step does not exist in specified routine,in an sfr instruction the target routine does not contain the target step,correct the sfr target or add the missing step
allen bradely,studio  logix designer,major fault tc  program fault a safety instruction occurs outside a safety task,a safety instruction occured outside a safety task,only use the instruction in a safety task
allen bradely,studio  logix designer,major fault tc  program fault equipment phase instruction cannot be called from a program,equipment phase instruction is being called from outside an equipment phase program,only use the instruction in an equipment phase program
allen bradely,studio  logix designer,major fault tc  program fault nesting limits exceeded,nesting limits exceeded,restructure the project to reduce the subroutinenesting levels
allen bradely,studio  logix designer,major fault tc  program fault userdefined fault,userdefined major fault,userdefined action
allen bradely,studio  logix designer,major fault tc  program fault userdefined fault,userdefined major fault,userdefined action
allen bradely,studio  logix designer,major fault tc  program fault userdefined fault,userdefined major fault,userdefined action
allen bradely,studio  logix designer,major fault tc  program fault userdefined fault,userdefined major fault,userdefined action
allen bradely,studio  logix designer,major fault tc  program fault userdefined fault,userdefined major fault,userdefined action
allen bradely,studio  logix designer,major fault tc  program fault userdefined fault,userdefined major fault,userdefined action
allen bradely,studio  logix designer,major fault tc  program fault userdefined fault,userdefined major fault,userdefined action
allen bradely,studio  logix designer,major fault tc  program fault userdefined fault,userdefined major fault,userdefined action
allen bradely,studio  logix designer,major fault tc  program fault userdefined fault,userdefined major fault,userdefined action
allen bradely,studio  logix designer,major fault tc  program fault userdefined fault,userdefined major fault,userdefined action
allen bradely,studio  logix designer,major fault tc  watchdog fault task watchdog expired  may have been caused by an infinite loop a complex program or a higher priority task,user task has not completed in the specified period a program error caused an infinite loop or the program is too complex to run as quickly as specified or a higher priority task is keeping this task from finishing,"take one or more of these steps
  increase the task watchdog
 shorten the execution time
 make the priority of this task higher
 simplify higher priority tasks
 move some code to another controller"
allen bradely,studio  logix designer,minor fault tc  watchdog fault periodic task overlap  task scheduled again before it finished executing,"periodic task overlap
the task was scheduled again before it finished executing",make changes such as simplify programs lengthen the period or raise the relative priority
allen bradely,studio  logix designer,minor fault tc  watchdog fault event task overlap task triggered again before it finished executing,"event task overlap
the task triggered again before it finished executing",make changes such as simplify programs lengthen the period raise the relative priority or slow the triggering event
allen bradely,studio  logix designer,major fault tc  nonvolatile fault store to nonvolatile memory failed,store to nonvolatile memory failed," try again to store the project to nonvolatile memory
 if the project fails to store to nonvolatile memory replace the memory card if you are using a lx controller verify that the sd card is unlocked"
allen bradely,studio  logix designer,major fault tc  nonvolatile fault load from nonvolatile memory failed due to controller type mismatch,load from nonvolatile memory failed due to controller type mismatch,change to a controller of the correct type or download the project and store it on the memory card
allen bradely,studio  logix designer,major fault tc  nonvolatile fault load from nonvolatile memory failed due to controller revision mismatch,load from nonvolatile memory failed because the firmware revision of the project in nonvolatile memory does not match the firmware revision of the controller,update the controller firmware to the same revision level as the project that is in nonvolatile memory
allen bradely,studio  logix designer,major fault tc  nonvolatile fault load from nonvolatile memory failed due to bad checksum,load from nonvolatile memory failed due to bad checksum,contact rockwell automation support
allen bradely,studio  logix designer,major fault tc  nonvolatile fault failed to restore processor memory,failed to restore controller memory,contact rockwell automation support
allen bradely,studio  logix designer,minor fault tc  nonvolatile fault controller was loaded from nonvolatile memory,when the controller loads a project from nonvolatile memory it logs this minor fault and sets the faultlog object minorfaultbits attribute bit ,clear the fault
