,Corrective Action,PLC,Model,fault,diagnostic
304,release higher-level catalog of the project  (e.g. step7\s7proj) for access via network drive.,siemen,step 7,project library '%1' write- protected medium.,project catalog released windows explorer read/write access.
197,"the project can be correct+d191ed with ""save as with reorganization"".",siemen,step 7,reference data could gener,error databas
29,clean the sensor and retry auto cal in buffers.,emerson,model 54,"""wait"" flashing continu",stabilization auto buffer calibr
1026,"read the individual information of the error using a peripheral device, check its value (time), and shorten the scan time.",mitsubishi,logic control,wdt error,program scan time exceeded wdt setting value designated plc ras setting parameter.
350,examine the arithmetic operations (order) or adjust the values.,allen brad,studio 5000 logix design,minor fault t04:c04 - program fault: arithmetic overflow. result arithmetic instruction range.,result arithmetic operation range.
1394,"use the proper physical cable connections from the end device to the wall, patch panel, hub, or switch. check for cable defects, replace defective cables.",siemen,logo!,wiring problem,physical cable connections end device wall may disconnected. cables may defective.
980,match the contents specified by a parameter to that of the actually mounted.,mitsubishi,logic control,link parameter error,network no. specified parameter different actually mounted network.
300,"excerpt of the online help of s7-pdiag:
""this associated value can have a parameter of the type bool, byte, char, word, int, dword, dint or real from the e, a, m or db areas. likewise you can enter local variables of an fb to which an error definition is attached. these are extended upon generation according to the type instance concept.",siemen,step 7,"invalid data type..."",",error message probably caused associated value invalid data type. please also refer information online help s7-diag concerning data types valid associated values.
670,"the data in the sram is lost if the click plc is powered off for long enough for the capacitor to discharge. in this case, the click plc initializes the data in the sram automatically. this also applies to standard and analog plc units if a battery is not installed.",click,click plus plc,lost sram data,data sram lost click plc powered off.
942,turn on the card insert switch after installing a memory card.,mitsubishi,logic control,icm ope. error,memory card in/out switch turned although memory card actually installed.
762,select a different value for input_delay or a different device.,phoenix,axc 3050,device numb,"device selected synchronization, support specified value input_delay."
1319,"remove imasi23 and reinsert. if error recurs, replace the imasi23.",abb,symphoni,channel 1-16 reference error,calibration error (02h) problem report (from fc 216)
317,increase the communications load of the cpu from (default) 20% to 50%.,siemen,step 7,time limit exceeded process operating.,communications load high.
1283,check the upload configuration.,abb,800xa,no_local_insert_posit,object configured parent uploaded objects exists.
1169,review and verify the network architecture for system compliance,rockwel,plantpax dc,bandwidth util,bandwidth utilization 50%
1066,check the system register setting or initialize the system registers.,panason,fp0r,system register error,probably abnormality system register.
1371,replace the defective profibus dp cables.,siemen,pcs 7,defective profibus dp c,s7-400h redundant system mode profibus dp cable defective.
210,reinstall step 7.,siemen,step 7,internal ole error.,message appears opening vat. s7uss directory missing directory siemens\step7.
1109,cancel inter-scs safety communication locks for some scs.,yokogawa,centum,number locked stations inter-scs safety communication exceed,number locked stations exceeded limit
1304,"if user mapping is used, check the user mapping table on the remote access server, service group.",abb,800xa,unknown_us,remote user account recognized remote access server.
1041,"reset the cpu module and make a run again. if the same error is displayed again, this suggests any cpu module hardware fault.",mitsubishi,logic control,multi cpu,response communication target cpu module initial communication multiple cpu system.
718,check the wiring for ch2. replace the sensor if it is broken.,click,click plus plc,io8 ch2 burnout,ch2 analog i/o module i/o8 position senses burnout open circuit.
901,reduce the number of a1sd51s modules to 6 or less.,mitsubishi,logic control,sp unit layer error,7 a1sd51s mounted.
761,select a different cycle time or a different device.,phoenix,axc 3050,device numb,"device selected synchronization, support specified cycle time."
152,close any further connections to the partner.,siemen,step 7,online: connection. node accept connection setup. check online connection select instance data block again.,partner cannot set connections.
1031,change the cpu modules in order of the standby system cpu module and control system cpu module.,mitsubishi,logic control,trk memory error,tracking memory fault cpu module detected initial processing.
693,check the wiring for ch2. replace the sensor if it is broken.,click,click plus plc,io3 ch2 burnout,ch2 analog i/o module i/o3 position senses burnout open circuit.
148,"go online again and set up a new connection.
if the behavior occurs again after a short time, then deactivate the power- save management.
warning: in some computers this can only be done via the bios setup.",siemen,step 7,online: connection broken. check online connection select instance data block again.,power-save management active computer.
1384,check connection of limit switches (inversion),siemen,logo!,traffic lights error,traffic lights working properli
338,"1. clear the fault.
2. download the project.
3. change to remote run or run mode.",allen brad,studio 5000 logix design,major fault t01:c60 - power-up fault: non-recoverable fault.,"controller memory card installed, controller: - detected nonrecoverable fault. - cleared project memory."
1172,rectify the environment and verify the network design.,rockwel,plantpax dc,temperatur,high temperatur
1287,run 'upload clean' and then upload everything to rebuild consistent memory tables.,abb,800xa,no_proxy_templ,log template found log upload.
538,"additional error information for this fault appears as the tag name associated with the controller to controller (c2c) that has the fault.
check the module in use and verify that it exactly matches the module specified in the i/o configuration tree of the logix designer application. for more information about electronic keying, see the user manual for the module you are using.
• the controller may be attempting to connect to a nonexistent tag in a producing controller.",allen brad,studio 5000 logix design,connection request error: invalid connection point.,connection invalid port port already use.
587,contact rockwell automation support. ,allen brad,studio 5000 logix design,connection request error: input force pointer set.,module entry controller incorrect.
477,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c25 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
920,"change network module to qj71lp21, qj71br11 module.",mitsubishi,logic control,sp unit layer error,"(1) network module a1sj71lp21, a1sj71br11, a1sj71ap21*, a1sj71ar21, a1sj71at2*b dedicated a2uscpu mounted. (2) network module a1sj71qlp21 a1sj71qbr11 dedicated q2as mounted."
1359,replace the defective cpu.,siemen,s7-1500,"run/stop led yellow, error led flashing red, maint led flashing yellow.",cpu defect
531,"additional error information for this fault will be displayed as the tag name associated with the connection instance number that has the fault.
check the module in use and verify that it exactly matches the module specified in the i/o configuration tree of the logix designer application.
if the module is a 1756 controlnet module, verify that the chassis size is correct. for remote i/o adapters, verify that the rack size and rack density is correct.",allen brad,studio 5000 logix design,connection request error: invalid connection size.,connection size inconsistent expected size.
446,install a compatible safety partner.,allen brad,studio 5000 logix design,major fault t14:c05 - safety task fault: safety partner hardware incompatible.,safety partner hardware incompatible.
695,check the wiring for ch4. replace the sensor if it is broken.,click,click plus plc,io3 ch4 burnout,ch4 analog i/o module i/o3 position senses burnout open circuit.
413,install a new battery.,allen brad,studio 5000 logix design,minor fault t10:c11 - battery fault: safety partner battery missing needs replaced.,battery safety partner missing must replaced.
654,replace the battery.,ge,series 90-30,option module backup batteri,battery may bad.
1014,change the setting to the automatic refresh setting or similar parameter setting of the intelligent function module under control of the host cpu.,mitsubishi,logic control,sp parameter error,"multiple cpu system, automatic refresh setting similar parameter setting made intelligent function module control another cpu."
1185,address any device driver issues on the computer or server that did not pass and reverify.,rockwel,plantpax dc,hardware device driv,hardware device driver supported plantpax system.
882,"this suggests an error for the intelligent function module, cpu module or base module. contact your nearest mitsubishi representative.",mitsubishi,logic control,control-bus err,fault main extension base module detected.
1188,replace the disk with a higher throughput or create additional disks,rockwel,plantpax dc,disk perform,performance disk low.
348,set the rpi rate of the i/o modules to a higher numerical value. rockwell automation recommends that the compactlogix™ 5370 l2 and compactlogix 5370 l3 control systems do not run with module rpi overlap faults.,allen brad,studio 5000 logix design,minor fault t03:c94 - i/o fault: module rpi overlap detected.,current rpi update i/o module overlaps previous rpi update.
43,check power supply,emerson,model 54,controller completely inop,cut-off circuit
478,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c26 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed. upload save program controller powered down.
354,remove the unknown instruction. this probably happened due to a program conversion process.,allen brad,studio 5000 logix design,major fault t04:c16 - program fault: unknown instruction encountered.,unknown instruction encountered.
306,reinstall step 7.,siemen,step 7,internet explorer installed pc.,online help started internet explorer installed installation step 7.
320,"if possible, rename the ob or even delete it in the offline database and retrigger the transfer.",siemen,step 7,ob copied belong layer available.,"message comes cpu. attempt made transfer ob onto cpu, permissible."
1383,check programming or/and configuration,siemen,logo!,inactive actu,external actuator act
666,download the project file into the click plc again.,click,click plus plc,project file error,project file stored click plc corrupted.
336,legacy. now an unused fault code.,allen brad,studio 5000 logix design,minor fault t01:c29 - power-up fault: voltage exceeded operating limits.,voltage exceeded operating limits.
94,check the operating mode.,siemen,step 7,problem connection receiver hw configur,module wrong operating mod
817,check the connected lower-level bus and its power supply.,phoenix,axc 3050,"modular devices, lower-level bus (sub-bus)",lower-level bus: module pres
1391,check emergency stop,siemen,logo!,bollard error,bollard ris
508,use the proper module keying or set the right map type attribute in the map entry.,allen brad,studio 5000 logix design,connection request error: bad segment.,ioi segment error connection request.
526,"check for these conditions:
• the controller is attempting to make a specific connection to a module and the module cannot support more than one of these connections.
• the target of a connection recognizes that the owner is attempting to remake a connection that is already running.",allen brad,studio 5000 logix design,connection request error: module use.,connection accessed already use.
186,acknowledge the message and reduce the frequency of the control jobs.,siemen,step 7,d043: data error: references order available.,"controlling monitoring variables, might happen many control jobs sent cpu, cpu rejects buffer full."
15,use a junction box where the distance between the sensor and controller is too long.,emerson,model 54,sensor line open,distance sensor controller long.
19,"to remove from hold, press any key and then press enter (f4). press edit (f4), change ""on"" to off"", and press save (f4).",emerson,model 54,hold mode activated (operator activated),relays open outputs set default valu
546,"check network configuration of the system.
check the system configuration and capabilities of the module.
check the module in use and verify that it exactly matches the module specified in the i/o configuration tree of the logix designer application.",allen brad,studio 5000 logix design,connection request error: buffer memory.,controller attempting set connection module received error: module path memory.
451,"if your desired safety level is sil2/pld, remove the safety partner (since it does not participate in a sil2/pld configuration).
if your desired safety level is sil3/ple, change the project safety level to sil3/ple.",allen brad,studio 5000 logix design,minor fault t14:c12 - safety fault: safety partner detected project safety level sil2/pld.,safety partner detected project safety level sil2/pld.
407,specify a tag to be used for the active station tag in the system protocol tab of the controller properties.,allen brad,studio 5000 logix design,minor fault t09:c03 - serial port fault: master protocol missing active station file.,rs-232 dfi master active station tag unspecified.
903,reduce the number of qi60/a1si61 modules mounted in the single cpu system to one.,mitsubishi,logic control,sp unit layer error,2 qi60/a1si61 modules mounted single cpu system.
533,"check the module in use and verify that it matches the module specified in the i/o configuration tree of the logix designer application. for more information about electronic keying, see the user manual for the module you are using.
• for listen only connections: the rpi set by the owner of this module is slower than the one requested. either increase the requested rpi or decrease the rpi the owner controller is using.
see the connection tab for valid rpi values.",allen brad,studio 5000 logix design,requested packet interval (rpi) range.,rpi supported.
1115,replace the applicable cpu module.,yokogawa,centum,nvram diagnosis error,error detected diagnosis nvram (nonvolatile memory) cpu module. nvram may faulty.
957,check program configuration. check parameters and program configuration.,mitsubishi,logic control,can't execute program,program files all.
453,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c01 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
1097,check the producing side scs and the communication path.,yokogawa,centum,inter-scs safety communication error inform,time diagnosis found error.
259,check the block with reference to the addresses used whether they do not exceed the permitted address area in the cpu implemented.,siemen,step 7,unable copy block %2. want continue copy procedure?,block using operands beyond area cpu (e.g. ew 128 s7-300 cpu).
716,apply 24vdc to the analog i/o module.,click,click plus plc,io8 missing 24v,analog i/o module i/ o8 position missing external 24vdc input.
175,"with nt check in the control panel that standard is not set for addresses and int in the settings of the com interfaces under ""advanced"". if not, remove com if and then restart the pc. now com if should be newly installed with the standard option.",siemen,step 7,exit application currently using required port (com port usb),another application already occupies serial interface faulty setting com-if upon display nt.
848,"send e-mail from pc client to confirm that it is a server delay and not a client delay. if server delay is confirmed, consult the it staff.",schneider,modicon tsx,messages slow arr,server delay
1366,replace the synchronization module or fibre optic cable.,siemen,pcs 7,failure synchronization module fibre optic cable.,s7-400h redundant system mode fiber-optic cable synchronization module fails.
58,check wiring. replace sensor if necessary.,emerson,model 320hp,"input voltage high, input voltage low",ph input shorted sensor miswir
928,remove the module mounted on 65th or later slot.,mitsubishi,logic control,sp unit layer error,module mounted 65th higher slot.
1200,correct and reverify. select the replace display type.,rockwel,plantpax dc,display typ,overlay display use consumes unnecessary memory cpu resources.
555,use rsnetworx for controlnet software to schedule or reschedule the connection to this module.,allen brad,studio 5000 logix design,connection request error: connection scheduled.,controller attempting set controlnet connection module received error.
351,check the instance name.,allen brad,studio 5000 logix design,minor fault t04:c05 - program fault: gsv/ssv object address invalid.,"gsv/ssv instruction, specified instance found."
1246,increase the disk capacity or system resources.,yokogawa,stardom,failed initialize i/o data chache.,disk capacity system resources insufficient.
773,check the invocation.,phoenix,axc 3050,pdi object index,access supported.
458,contact rockwell automation technical support with the fault type and fault code logged.,allen brad,studio 5000 logix design,"minor fault t17:c06 - diagnostic fault: runtime diagnostic failed complete, please contact technical support fault type fault code.",internal controller diagnostic failed.
1226,access a supported device,yokogawa,stardom,accessed illegal device.,unsupported device accessed.
