,Fault,Diagnostic,Corrective Action,PLC,Model
335,major fault t01:c16 - power-up fault: i/o communications configuration fault detected.,i/o communication configuration fault detected. (compactlogix™ 1768-l4x controllers only.),reconfigure the number of communication modules on the 1768 bus side of the controller,Allen Bradely,Studio 5000 Logix Designer
336,minor fault t01:c29 - power-up fault: voltage has exceeded operating limits.,voltage has exceeded operating limits.,legacy. now an unused fault code.,Allen Bradely,Studio 5000 Logix Designer
337,major fault t01:c40 - power-up fault: energy storage module/battery failed during power down.,"if the controller uses a battery, the battery does not contain enough charge to save the user program on power-down.

if the controller uses an esm (energy storage module), the esm does not contain enough charge to save the user program on power-down.","for controllers that use a battery, replace the battery.
for controllers that use an esm (energy storage module):
• allow the esm to charge fully before powering down the controller.
• replace the esm if the esm is removable, or replace the controller if the esm is not removable.
",Allen Bradely,Studio 5000 Logix Designer
338,major fault t01:c60 - power-up fault: non-recoverable fault.,"for a controller with no memory card installed, the controller:
- detected a nonrecoverable fault.
- cleared the project from memory.","1. clear the fault.
2. download the project.
3. change to remote run or run mode.",Allen Bradely,Studio 5000 Logix Designer
339,major fault t01:c61 - power-up fault: non-recoverable fault with saved diagnostic information.,"for a controller with a memory card installed, the controller:
•  detected a nonrecoverable fault.
•  wrote diagnostic information to the memory card.
•  cleared the project from memory.","1. clear the fault.
2. download the project.
3. change to remote run or run mode.",Allen Bradely,Studio 5000 Logix Designer
340,major fault t01:c62 - power-up fault: non-recoverable fault with saved diagnostic information and stored user program.,"for a controller with a secure digital (sd) card installed, the controller:
• detected a nonrecoverable fault.
• wrote diagnostic information to the memory card.","1. clear the fault.
2. download the project.
3. change to remote run or run mode.
if the fault persists, contact rockwell automation support.",Allen Bradely,Studio 5000 Logix Designer
341,minor fault t3:c0 - i/o fault: compact i/o end cap missing.,compact i/o™ end cap missing.,install the end cap.,Allen Bradely,Studio 5000 Logix Designer
342,minor fault t03:c01 - i/o fault: pointbus backplane bus off.,pointbus™ backplane bus off condition. the connections between the controller and the i/o modules are broken.,"complete these steps to identify the source of the bus off fault:
1.  the number of local expansion modules in the project matches the number of modules that are physically installed in the system.
2.  all mounting bases are locked and i/o modules are securely installed on mounting bases.
3. all 1734 point i/o™ modules are configured to use the autobaud rate.",Allen Bradely,Studio 5000 Logix Designer
343,major fault t03:c16 - i/o fault: i/o module connection failed on required module.,a required i/o module connection failed.,"verify the following:
• i/o module is in the chassis.
• electronic keying requirements.
• controller properties major fault tab and the module properties connection tab for more information about the fault.",Allen Bradely,Studio 5000 Logix Designer
344,major fault t03:c20 - i/o fault: unable to read controlbus™ chassis information.  chassis may be bad.,possible fault with the chassis.,not recoverable. replace the chassis.,Allen Bradely,Studio 5000 Logix Designer
345,major fault t03:c21 - i/o fault: unable to read controlbus chassis information. chassis may be bad.,possible fault with the chassis.,not recoverable. replace the chassis.,Allen Bradely,Studio 5000 Logix Designer
346,major fault t03:c23 - i/o fault: at least one required connection not established before going into run mode.,at least one required connection was not established before going to run mode.,wait for the controller i/o light to turn green before changing to run mode.,Allen Bradely,Studio 5000 Logix Designer
347,major fault t03:c32 - i/o fault: controller failed to open an i/o connection to a fault-tolerant i/o module because its partner controller is in a primary state.,the controller failed to open an i/o connection to a fault-tolerant i/o module because its partner controller is in a primary state.,"• make sure that the redundancy module is correctly inserted and connected.
• synchronize the redundancy controllers so that only one controller is in the primary state.",Allen Bradely,Studio 5000 Logix Designer
348,minor fault t03:c94 - i/o fault: module rpi overlap detected.,the current rpi update of an i/o module overlaps with its previous rpi update.,set the rpi rate of the i/o modules to a higher numerical value. rockwell automation recommends that the compactlogix™ 5370 l2 and compactlogix 5370 l3 control systems do not run with module rpi overlap faults.,Allen Bradely,Studio 5000 Logix Designer
349,minor fault t03:c100 - i/o fault: i/o module does not support data integrity.,the i/o module does not support data integrity.,legacy. now an unused fault code.,Allen Bradely,Studio 5000 Logix Designer
350,minor fault t04:c04 - program fault: arithmetic overflow.  result of an arithmetic instruction out of range.,the result of an arithmetic operation is out of range.,examine the arithmetic operations (order) or adjust the values.,Allen Bradely,Studio 5000 Logix Designer
351,minor fault t04:c05 - program fault: gsv/ssv object address invalid.,"in a gsv/ssv instruction, the specified instance was not found.",check the instance name.,Allen Bradely,Studio 5000 Logix Designer
352,minor fault t04:c06 - program fault: gsv/ssv operand invalid.,"in a gsv/ssv instruction, either the:
• specified class name is not supported.
• specified attribute name is not valid.",check the class name and attribute name.,Allen Bradely,Studio 5000 Logix Designer
353,minor fault t04:c07 - program fault: gsv/ssv destination tag too small to hold all data.,the gsv/ssv destination tag was too small to hold the data.,fix the destination so it has enough space.,Allen Bradely,Studio 5000 Logix Designer
354,major fault t04:c16 - program fault: unknown instruction encountered.,unknown instruction encountered.,remove the unknown instruction. this probably happened due to a program conversion process.,Allen Bradely,Studio 5000 Logix Designer
355,"major fault t04:c20 - program fault: array subscript too large, or control data type pos or len invalid.",the array subscript is too large or the control data type .pos or .len value is invalid.,adjust the value to be within the valid range. do not exceed the array size or go beyond the dimensions defined.,Allen Bradely,Studio 5000 Logix Designer
356,major fault t04:c21 - program fault: control data type len or pos less than 0.,control structure .len or .pos < 0.,adjust the value so it is > 0.,Allen Bradely,Studio 5000 Logix Designer
357,major fault t04:c24 - program fault: unknown data type passed to subroutine.,unknown data type passed to subroutine.,legacy. now an unused fault code.,Allen Bradely,Studio 5000 Logix Designer
358,minor fault t04:c30 - program fault: ascii instruction failed.,an ascii instruction failed. bad parameters passed through to the ascii port.,verify the ascii configuration settings.,Allen Bradely,Studio 5000 Logix Designer
359,major fault t04:c31 - program fault: jsr or ret did not pass as many parameters as expected.,the parameters of the jsr instruction do not match those of the associated sbr or ret instruction.,"pass the appropriate number of parameters. if you pass too many parameters, the extra ones are ignored without any error.",Allen Bradely,Studio 5000 Logix Designer
360,minor fault t04:c32 - program fault: routine type not supported.,routine type not supported.,legacy. now an unused fault code.,Allen Bradely,Studio 5000 Logix Designer
361,major fault t04:c34 - program fault: a timer instruction had a negative value for its pre or acc.,a timer instruction has a negative preset or accumulated value.,fix the program so that it cannot load a negative value into the timer preset or accumulated value.,Allen Bradely,Studio 5000 Logix Designer
362,pid delta time was less than 0.,pid delta time less than zero.,adjust the pid delta time so that it is > 0.,Allen Bradely,Studio 5000 Logix Designer
363,pid setpoint out of range for target module.,pid setpoint out of range.,adjust the setpoint so that it is within range.,Allen Bradely,Studio 5000 Logix Designer
364,major fault t04:c42 - program fault: jmp to a label that did not exist or was deleted.,jmp to a label that did not exist or was deleted.,correct the jmp target or add the missing label.,Allen Bradely,Studio 5000 Logix Designer
365,minor fault t04:c51 - program fault: len value outside data limit.,the .len value of the string tag is greater than the data size of the string tag.,"1. check that no instruction is writing to the len member of the string tag.
2. in the len value, enter the number of characters that the string contains.",Allen Bradely,Studio 5000 Logix Designer
366,minor fault t04:c52 - program fault: defined string size is invalid.,the output string is larger than the destination.,create a string data type that is large enough for the output string. use the new string data type as the data type for the destination.,Allen Bradely,Studio 5000 Logix Designer
367,minor fault t04:c53 - program fault: numeric result cannot fit in destination.,the output number is beyond the limits of the destination data type.,"either:
• reduce the size of the ascii value.
• use a larger data type for the destination.",Allen Bradely,Studio 5000 Logix Designer
368,minor fault t04:c54 - program fault: buffersize value reduced amount of data.,buffersize value reduced amount of data.,legacy. now an unused fault code.,Allen Bradely,Studio 5000 Logix Designer
369,minor fault t04:c55 - program fault: serialport control len value was incorrect.,serialport control .len value was incorrect.,legacy. now an unused fault code.,Allen Bradely,Studio 5000 Logix Designer
370,minor fault t04:c56 - program fault: invalid start and/or quantity value.,the start or quantity value is invalid.,"check the following:
• the start value is between 1 and the data size of the source.
• the start value plus the quantity value is less than or equal to the data size of the source.",Allen Bradely,Studio 5000 Logix Designer
371,minor fault t04:c57 - program fault: cannot execute ahl when serialport set to nohandshaking.,the ahl instruction failed to execute because the serial port is set to no handshaking.,"either:
• change the control line setting of the serial port.
• delete the ahl instruction.",Allen Bradely,Studio 5000 Logix Designer
372,major fault t04:c82 - program fault: could not re-enter an executing sfc routine.,a sequential function chart (sfc) called a subroutine and the subroutine tried to jump back to the calling sfc. this occurs when the sfc uses either a jsr or for instruction to call the subroutine.,remove the jump back to the calling sfc.,Allen Bradely,Studio 5000 Logix Designer
373,major fault t04:c83 - program fault: value out of range.,the data tested was not inside the required limits. this occurs with array subscripts used with boolean arrays and bit level addressing.,adjust the value to be within the valid range. do not exceed the array size or go beyond the dimensions defined.,Allen Bradely,Studio 5000 Logix Designer
374,major fault t04:c84 - program fault: stack overflow.  stack too small to perform operation.,stack overflow.,reduce the subroutine-nesting levels or the number of parameters passed.,Allen Bradely,Studio 5000 Logix Designer
375,major fault t04:c85 - program fault: invalid routine type.,invalid routine type.,use a valid routine type.,Allen Bradely,Studio 5000 Logix Designer
376,minor fault t04:c86 - program fault: access violation in user program.,access violation in user program.,contact rockwell automation technical support. ,Allen Bradely,Studio 5000 Logix Designer
377,minor fault t04:c87 - program fault: external routine dll load failed.  perhaps a dll on which it depends is missing.,external routine dll load failed. , dll missing or malformed. confirm and adjust.,Allen Bradely,Studio 5000 Logix Designer
378,minor fault t04:c88 - program fault: exception in external routine dll.,exception in external routine dll.,troubleshoot the external routine dll.,Allen Bradely,Studio 5000 Logix Designer
379,major fault t04:c89 - program fault: target step does not exist in specified routine.,"in an sfr instruction, the target routine does not contain the target step.",correct the sfr target or add the missing step.,Allen Bradely,Studio 5000 Logix Designer
380,major fault t04:c90 - program fault: a safety instruction occurs outside a safety task.,a safety instruction occured outside a safety task.,only use the instruction in a safety task.,Allen Bradely,Studio 5000 Logix Designer
381,major fault t04:c91 - program fault: equipment phase instruction cannot be called from a program.,equipment phase instruction is being called from outside an equipment phase program.,only use the instruction in an equipment phase program.,Allen Bradely,Studio 5000 Logix Designer
382,major fault t04:c94 - program fault: nesting limits exceeded.,nesting limits exceeded.,restructure the project to reduce the subroutine-nesting levels.,Allen Bradely,Studio 5000 Logix Designer
383,major fault t04:c990 - program fault: user-defined fault.,user-defined major fault.,user-defined action.,Allen Bradely,Studio 5000 Logix Designer
384,major fault t04:c991 - program fault: user-defined fault.,user-defined major fault.,user-defined action.,Allen Bradely,Studio 5000 Logix Designer
385,major fault t04:c992 - program fault: user-defined fault.,user-defined major fault.,user-defined action.,Allen Bradely,Studio 5000 Logix Designer
386,major fault t04:c993 - program fault: user-defined fault.,user-defined major fault.,user-defined action.,Allen Bradely,Studio 5000 Logix Designer
387,major fault t04:c994 - program fault: user-defined fault.,user-defined major fault.,user-defined action.,Allen Bradely,Studio 5000 Logix Designer
388,major fault t04:c995 - program fault: user-defined fault.,user-defined major fault.,user-defined action.,Allen Bradely,Studio 5000 Logix Designer
389,major fault t04:c996 - program fault: user-defined fault.,user-defined major fault.,user-defined action.,Allen Bradely,Studio 5000 Logix Designer
390,major fault t04:c997 - program fault: user-defined fault.,user-defined major fault.,user-defined action.,Allen Bradely,Studio 5000 Logix Designer
391,major fault t04:c998 - program fault: user-defined fault.,user-defined major fault.,user-defined action.,Allen Bradely,Studio 5000 Logix Designer
392,major fault t04:c999 - program fault: user-defined fault.,user-defined major fault.,user-defined action.,Allen Bradely,Studio 5000 Logix Designer
393,"major fault t06:c01 - watchdog fault: task watchdog expired.  may have been caused by an infinite loop, a complex program, or a higher priority task.","user task has not completed in the specified period. a program error caused an infinite loop, or the program is too complex to run as quickly as specified, or a higher priority task is keeping this task from finishing.","take one or more of these steps:
•  increase the task watchdog.
• shorten the execution time.
• make the priority of this task higher.
• simplify higher priority tasks.
• move some code to another controller.",Allen Bradely,Studio 5000 Logix Designer
394,minor fault t06:c02 - watchdog fault: periodic task overlap.  task scheduled again before it finished executing.,"periodic task overlap.
the task was scheduled again before it finished executing.","make changes, such as simplify programs, lengthen the period, or raise the relative priority.",Allen Bradely,Studio 5000 Logix Designer
395,minor fault t06:c03 - watchdog fault: event task overlap. task triggered again before it finished executing.,"event task overlap.
the task triggered again before it finished executing.","make changes such as simplify programs, lengthen the period, raise the relative priority, or slow the triggering event.",Allen Bradely,Studio 5000 Logix Designer
396,major fault t07:c40 - nonvolatile fault: store to nonvolatile memory failed.,store to nonvolatile memory failed.,"1. try again to store the project to nonvolatile memory.
2. if the project fails to store to nonvolatile memory, replace the memory card. if you are using a 1756-l7x controller, verify that the sd card is unlocked.",Allen Bradely,Studio 5000 Logix Designer
397,major fault t07:c41 - nonvolatile fault: load from nonvolatile memory failed due to controller type mismatch.,load from nonvolatile memory failed due to controller type mismatch.,change to a controller of the correct type or download the project and store it on the memory card.,Allen Bradely,Studio 5000 Logix Designer
398,major fault t07:c42 - nonvolatile fault: load from nonvolatile memory failed due to controller revision mismatch.,load from nonvolatile memory failed because the firmware revision of the project in nonvolatile memory does not match the firmware revision of the controller.,update the controller firmware to the same revision level as the project that is in nonvolatile memory.,Allen Bradely,Studio 5000 Logix Designer
399,major fault t07:c43 - nonvolatile fault: load from nonvolatile memory failed due to bad checksum.,load from nonvolatile memory failed due to bad checksum.,contact rockwell automation support.,Allen Bradely,Studio 5000 Logix Designer
400,major fault t07:c44 - nonvolatile fault: failed to restore processor memory.,failed to restore controller memory.,contact rockwell automation support.,Allen Bradely,Studio 5000 Logix Designer
401,minor fault t07:c49 - nonvolatile fault: controller was loaded from nonvolatile memory.,"when the controller loads a project from nonvolatile memory, it logs this minor fault and sets the faultlog object, minorfaultbits attribute, bit 7.",clear the fault.,Allen Bradely,Studio 5000 Logix Designer
402,major fault t07:c50 - nonvolatile fault: security certificate invalid.,"the log file certificate cannot be verified. when the controller starts up, it attempts to verify the log file key/certificate combination. depending on the verification, the controller takes one of the following actions:
• if the controller verifies the existing log file certificate, the controller continues with the existing log directory.
• if the existing certificate cannot be verified, the controller logs a major fault and attempts to create a new certificate.
• if the controller successfully creates a certificate, it creates a backup log subdirectory, moves the existing files to that directory, and continues logging and signing with the new verification key and log file certificate.
•  if the controller cannot create a certificate, the controller writes log entries to the existing log directory, but does not update signature files in that directory.",clear the fault and power cycle the controller.,Allen Bradely,Studio 5000 Logix Designer
403,major fault t8:c1 - mode change fault: mode change inhibited due to download in progress.,attempted to place controller in run mode with keyswitch during download.,wait for the download to complete and clear the fault.,Allen Bradely,Studio 5000 Logix Designer
404,minor fault t09:c00 - serial port fault: unknown error while servicing serial port.,unknown error while servicing the serial port.,contact rockwell automation technical support.,Allen Bradely,Studio 5000 Logix Designer
405,minor fault t09:c01 - serial port fault: problem with hardware control lines.,the cts line is not correct for the current configuration.,disconnect and reconnect the serial port cable to the controller. make sure that the cable is wired correctly.,Allen Bradely,Studio 5000 Logix Designer
406,minor fault t09:c02 - serial port fault: contents of poll list tag incorrect.,"poll list error.
a fault was detected with the df1 master’s poll list, such as specifying more stations than the size of the file, specifying more than 255 stations, trying to index past the end of the list, or polling the broadcast address (stn #255).","check for the following errors in the poll list.
- total number of stations is greater than the space in the poll list tag.
- total number of stations is greater than 255.
- current station pointer is greater than the end of the poll list tag.
- a station number greater than 254 was encountered.",Allen Bradely,Studio 5000 Logix Designer
407,minor fault t09:c03 - serial port fault: master protocol missing active station file.,the rs-232 dfi master active station tag is unspecified.,specify a tag to be used for the active station tag in the system protocol tab of the controller properties.,Allen Bradely,Studio 5000 Logix Designer
408,minor fault t09:c05 - serial port fault: df1 slave poll timeout.,"df1 slave poll timeout.
the poll watchdog has timed out for slave. the master has not polled this controller in the specified amount of time.",determine and correct delay for polling.,Allen Bradely,Studio 5000 Logix Designer
409,minor fault t09:c09 - serial port fault: modem contact lost.,"modem contact lost.
dcd or dsr control lines are not being received in proper sequence or state.",correct modem connection to the controller.,Allen Bradely,Studio 5000 Logix Designer
410,minor fault t09:c10 - serial port fault: serial port is unable to keep up with incoming data.,data has been dropped or lost from the serial port.,slow down the rate at which the initiator is sending data.,Allen Bradely,Studio 5000 Logix Designer
411,minor fault t09:c11 - serial port fault: acl instruction channel operand is not a valid port.,a channel operand in an acl instruction channel is not a valid port.,correct the channel specified in the acl instruction.,Allen Bradely,Studio 5000 Logix Designer
412,minor fault t10:c10 - battery fault: battery missing or needs to be replaced.,the battery is missing or must be replaced.,install a new battery.,Allen Bradely,Studio 5000 Logix Designer
413,minor fault t10:c11 - battery fault: safety partner battery missing or needs to be replaced.,the battery for the safety partner is missing or must be replaced.,install a new battery.,Allen Bradely,Studio 5000 Logix Designer
414,minor fault t10:c12 - energy storage fault: energy storage module not present.,"the energy storage module is not installed.
if the controller is powered-down, the wallclocktime attribute and program are not maintained.",install an esm in the controller.,Allen Bradely,Studio 5000 Logix Designer
415,minor fault t10:c13 - energy storage fault: energy storage module incompatible with controller type.,the installed energy storage module is not compatible with the controller.,replace the installed esm with one that is compatible with the controller.,Allen Bradely,Studio 5000 Logix Designer
416,minor fault t10:c14 - energy storage fault: energy storage module hardware failure.,"the energy storage module must be replaced due to a hardware fault.
it is not capable of maintaining the wallclocktime attribute or controller program at power down.",replace the esm.,Allen Bradely,Studio 5000 Logix Designer
417,minor fault t10:c15 - energy storage fault: energy storage module energy low.,the energy storage module cannot store enough energy to maintain the wallclocktime attribute or the controller program at power-down.,replace the esm.,Allen Bradely,Studio 5000 Logix Designer
418,minor fault t10:c16 - ups fault: ups missing or not ready.,the uninterruptible power supply is missing or not ready.,"either:
• install the ups.
• check the ups to make sure it is adequately charged to provide backup power if there is a power loss.",Allen Bradely,Studio 5000 Logix Designer
419,minor fault t10:c17 - ups fault: ups battery failure.,the uninterruptible power supply battery has failed and must be replaced.,replace the battery in the ups.,Allen Bradely,Studio 5000 Logix Designer
420,major fault t11:c01 - motion fault: actual position of axis exceeded positive overtravel limit.,actual position of the axis has exceeded the positive overtravel limit.,move axis in negative direction until position is within overtravel limit and then execute motion axis fault reset.,Allen Bradely,Studio 5000 Logix Designer
421,major fault t11:c02 - motion fault: actual position of axis exceeded negative overtravel limit.,actual position of the axis has exceeded the negative overtravel limit.,move axis in positive direction until position is within overtravel limit and then run motion axis fault reset.,Allen Bradely,Studio 5000 Logix Designer
422,major fault t11:c03 - motion fault: actual position exceeded position error tolerance.,actual position the axis has exceeded the position error tolerance.,"move the position within tolerance, then run motion axis fault reset.",Allen Bradely,Studio 5000 Logix Designer
423,"major fault t11:c04 - motion fault: encode channel a, b, or z connection failed.","encoder channel a, b, or z connection is broken.","reconnect the encoder channel, then run motion axis fault reset.",Allen Bradely,Studio 5000 Logix Designer
424,"major fault t11:c05 - motion fault: encoder noise event detected, or encoder signals not in quadrature.",encoder noise event detected or the encoder signals are not in the quadrature.,"fix encoder cabling, then run motion axis fault reset.",Allen Bradely,Studio 5000 Logix Designer
425,major fault t11:c06 - motion fault: drive fault.,drive fault detected.,clear drive fault then run motion axis fault reset.,Allen Bradely,Studio 5000 Logix Designer
426,major fault t11:c07 - motion fault: synchronous connection to servo module failed.,synchronous connection to the servo module failed.,"try these steps:
1. first, run motion axis fault reset.
2. if that does not work, pull out the servo module and plug it back in.
3. if this does not work, replace the servo module.",Allen Bradely,Studio 5000 Logix Designer
427,major fault t11:c08 - motion fault: hardware failure in servo module.,hardware failure detected in the servo module.,replace the module.,Allen Bradely,Studio 5000 Logix Designer
428,major fault t11:c09 - motion fault: asynchronous connection to servo module failed.,asynchronous connection to the servo module failed.,"try these steps:
1. first, run motion axis fault reset.
2. if that does not work, pull out the servo module and plug it back in.
3. if this does not work, replace the servo module.",Allen Bradely,Studio 5000 Logix Designer
429,major fault t11:c10 - motion fault: motor fault detected.,motor fault detected.,see the drivefaults axis tag for more information.,Allen Bradely,Studio 5000 Logix Designer
430,major fault t11:c11 - motion fault: motor thermal fault detected.,motor thermal fault detected.,see the drivefaults axis tag for more information.,Allen Bradely,Studio 5000 Logix Designer
431,major fault t11:c12 - motion fault: drive thermal fault detected.,drive thermal fault detected.,see the drivefaults axis tag for more information.,Allen Bradely,Studio 5000 Logix Designer
432,major fault t11:c13 - motion fault: sercos comm fault detected.,sercos communication fault detected.,verify the integrity of the sercos fiber-optic ring network and the devices on it.,Allen Bradely,Studio 5000 Logix Designer
433,"major fault t11:c14 - motion fault: drive enable input 1) was inactive prior during an attempt to enable the drive, or 2) transitioned to inactive while the drive was enabled.",drive enable input was inactive during an attempt to enable the drive or transitioned to inactive while the drive was enabled.,re-enable the drive enable input and clear the fault.,Allen Bradely,Studio 5000 Logix Designer
434,major fault t11:c15 - motion fault: drive phase loss fault detected.,drive phase loss fault detected.,restore full power connection to the drive and clear the fault.,Allen Bradely,Studio 5000 Logix Designer
435,major fault t11:c16 - motion fault: a guard fault has been detected by the drive.,driveguard® fault detected.,see the guardfaults axis tag for more information.,Allen Bradely,Studio 5000 Logix Designer
436,major fault t11:c32 - motion fault: motion task overlap.  coarse update rate too high.,the motion task experienced an overlap. the coarse update rate is too high.,"the group’s course update rate is too high to maintain correct operation. clear the group fault tag, raise the group’s update rate, and then clear the major fault.",Allen Bradely,Studio 5000 Logix Designer
437,major fault t11:c33 - motion fault: coordinated system time reference has been lost.,coordinated system time reference has been lost.,check the condition of the cst master in the backplane. ,Allen Bradely,Studio 5000 Logix Designer
438,major fault t12:c32 - safety fault: disqualified secondary became primary.,a disqualified secondary controller cycled power and no partner chassis or controller was found upon power-up.,"verify the following items.
•  a partner chassis is connected.
• power is applied to both redundant chassis.
• partner controllers have the same catalog number, slot number, and firmware revision.",Allen Bradely,Studio 5000 Logix Designer
439,major fault t12:c33 - safety fault: no partner found after switchover.,an unpartnered controller has been identified in the new primary chassis after a switchover.,"either:
• remove the unpartnered controller and troubleshoot the cause of the switch over.
• add a partner controller to the secondary chassis, troubleshoot the cause of the switch over, and synchronize the system.",Allen Bradely,Studio 5000 Logix Designer
440,major fault t12:c34 - safety fault: keyswitch positions of primary and secondary controllers mismatched,"just after a switchover occurs, the keyswitch positions of the primary and secondary controllers are mismatched.
the old primary controller is in program mode and the new primary controller is in run mode.","either:
• change the keyswitches from run to program to run mode twice to clear the fault.
• use the logix designer application to go online with the controllers. then, clear the faults and change both the controller's mode to run.",Allen Bradely,Studio 5000 Logix Designer
441,minor fault t13:c21 - real time clock fault: wall clock time out of range.,the wallclocktime is out of range.,verify the wallclocktime is set to the correct date/time.,Allen Bradely,Studio 5000 Logix Designer
442,"major fault t14:c01 - safety task fault: task watchdog expired. may have been caused by infinite loop, complex program, higher priority task, or removal of safety partner.","safety task watchdog expired.
safety task has not completed in a specified period. a program error caused an infinite loop, the program is too complex to run as quickly as specified, a higher priority task is keeping this task from finishing, or the safety partner has been removed.","clear the fault.
if a safety task signature exists, safety memory is reinitialized and the safety task begins executing.
if a safety task signature does not exist, you must redownload the program to allow the safety task to run.
reinsert the safety partner if it was removed.",Allen Bradely,Studio 5000 Logix Designer
443,major fault t14:c02 - safety task fault: an error exists in a routine of the safety task.,an error exists in a routine of the safety task.,correct the error in the user-program logic.,Allen Bradely,Studio 5000 Logix Designer
444,major fault t14:c03 - safety task fault: safety partner is missing.,safety partner is missing.,install a compatible safety partner.,Allen Bradely,Studio 5000 Logix Designer
445,major fault t14:c04 - safety task fault: safety partner is unavailable.,safety partner is unavailable.,install a compatible safety partner.,Allen Bradely,Studio 5000 Logix Designer
446,major fault t14:c05 - safety task fault: safety partner hardware is incompatible.,safety partner hardware is incompatible.,install a compatible safety partner.,Allen Bradely,Studio 5000 Logix Designer
447,major fault t14:c06 - safety task fault: safety partner firmware is incompatible.,safety partner firmware is incompatible.,update the safety partner so that the firmware major and minor revision match the primary controller.,Allen Bradely,Studio 5000 Logix Designer
448,major fault t14:c07 - safety task fault: safety task is inoperable.,"the safety logic is invalid. for example, a mismatch in logix exists between the primary controller and safety partner, a watchdog timeout occurred, or memory is corrupt.","clear the fault.
if a safety task signature exists, safety memory is reinitialized via the safety task signature and the safety task begins executing.
if a safety task signature does not exist, you must download the program again to allow the safety task to run.",Allen Bradely,Studio 5000 Logix Designer
449,major fault t14:c08 - safety task fault: safety partner's time is not synchronized with primary.,coordinated system time (cst) not found. the safety partner's time is not synchronized with the primary.,clear the fault. configure a device to be the cst master.,Allen Bradely,Studio 5000 Logix Designer
450,major fault t14:c09 - safety task fault: a non-recoverable fault has occurred in safety partner.,a nonrecoverable fault occurred in the safety partner.,"clear the fault and download the program. if the fault persists, replace the safety partner.",Allen Bradely,Studio 5000 Logix Designer
451,minor fault t14:c12 - safety fault: safety partner detected when the project safety level is sil2/pld.,the safety partner detected when the project safety level is sil2/pld.,"if your desired safety level is sil2/pld, remove the safety partner (since it does not participate in a sil2/pld configuration).
if your desired safety level is sil3/ple, change the project safety level to sil3/ple.",Allen Bradely,Studio 5000 Logix Designer
452,"minor fault t17:c00 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
453,"minor fault t17:c01 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
454,"minor fault t17:c02 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
455,"minor fault t17:c03 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
456,"minor fault t17:c04 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
457,"minor fault t17:c05 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
458,"minor fault t17:c06 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
459,"minor fault t17:c07 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
460,"minor fault t17:c08 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
461,"minor fault t17:c09 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
462,"minor fault t17:c10 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
463,"minor fault t17:c11 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
464,"minor fault t17:c12 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
465,"minor fault t17:c13 - diagnostic fault: a runtime diagnostic failed to complete, please contact technical support with the fault type and fault code.",an internal controller diagnostic failed.,contact rockwell automation technical support with the fault type and fault code logged.,Allen Bradely,Studio 5000 Logix Designer
